,APP
% Above Low,0.0785
% Held by Institutions,0.4878
52-Wk Range,['13.00 - 99.29']
Annual Dividend $,
Annual Dividend %,
Ask,14.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,13.83
Bid Size,100.0
Closing Price,14.02
Day Change $,-0.08
Day Change %,-0.005699999999999999
Day High,14.71
Day Low,13.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.23
Ex-dividend Date,No dividend
Historical Volatility,0.845
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,5.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.1
Short Interest,0.1475
Today's Open,13.87
Volume,884645.0
Volume 10-day Avg,3898404.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.064516129032258
Growth 2yr High Est,-3.8999999999999995
Growth 2yr Consensus Est,-2.4822580645161287
Growth 5yr Low Est,-1.064516129032258
Growth 5yr High Est,-3.8999999999999995
Growth 5yr Consensus Est,-2.4822580645161287
Growth 5yr Actual/Est,-3.108888888888889
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.79185
Price/Book (MRQ),2.76876
Price/Cash Flow (TTM),10.87608
5yr Low,13.0
5yr High,116.09
5yr Avg Return,-0.2529
Short Int Current Month,17821023.0
Short Int Prev Month,15031017.0
Short Int Pct of Float,0.1475397
Days to Cover,3.91897
Float,181.0805
Shares Outstanding,371.6896
Institutions Holding Shares,319.0
FCF Growth 5yr,-0.6033691254279491
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6039
Operating Profit Margin (TTM),0.011399999999999999
Net Profit Margin (TTM),-0.0282
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.0499
EPS Growth (TTM),
Revenue Growth (MRQ),-0.08130000000000001
Revenue Growth (TTM),
Return On Equity (TTM),-0.0433
Return On Assets (TTM),-0.0158
Return On Investment (TTM),-0.0177
Revenue Per Employee (TTM),1824480.0
Total Debt/Total Capital (MRQ),0.6315
Change in Debt/Total Capital Quarter over Quarter,0.0044
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.12
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-06-10 00:00:00
ford since,2022-09-30 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-05-17 00:00:00
marketEdge opinion since,
