,HUN
% Above Low,0.2161
% Held by Institutions,0.8820999999999999
52-Wk Range,['23.54 - 41.65']
Annual Dividend $,0.85
Annual Dividend %,0.0297
Ask,30.79
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,20.05
Bid Size,100.0
Closing Price,28.62
Day Change $,0.05
Day Change %,0.0018
Day High,28.91
Day Low,28.43
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",5.35
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.374
Last (size),37.0
Last (time),5:00p ET 11/25/22
Market Cap,5.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.35
Prev Close,28.57
Short Interest,0.022099999999999998
Today's Open,28.49
Volume,712327.0
Volume 10-day Avg,2053399.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.049180327868852514
Growth 1yr High Est,0.08219178082191791
Growth 1yr Consensus Est,0.06568605434538521
Growth 2yr Low Est,-0.1394723360655738
Growth 2yr High Est,0.06641234610716151
Growth 2yr Consensus Est,-0.03652999497920614
Growth 5yr Low Est,0.8445184426229506
Growth 5yr High Est,0.8696717228015997
Growth 5yr Consensus Est,0.8570950827122751
Growth 5yr Actual/Est,0.5119084750087705
Growth 3yr Historic,0.5631919434440443
Price/Earnings (TTM),5.34808
Price/Sales (TTM),0.60623
Price/Book (MRQ),1.47348
Price/Cash Flow (TTM),3.68244
5yr Low,12.23
5yr High,41.65
5yr Avg Return,0.016083333333333335
EPS Growth 5yr,0.2687414
Revenue Growth 5yr,0.023721199999999998
Dividend Growth 5yr,0.0771436
Short Int Current Month,3972075.0
Short Int Prev Month,4873596.0
Short Int Pct of Float,0.0221046
Days to Cover,1.43265
Float,179.9177
Shares Outstanding,192.0995
Institutions Holding Shares,525.0
FCF Growth 5yr,3.4998480383127646
"Price/Earnings (TTM, GAAP)",5.35
"PEG Ratio (TTM, GAAP)",1.36
Gross Profit Margin (TTM),0.2118
Operating Profit Margin (TTM),0.156
Net Profit Margin (TTM),0.13240000000000002
Annual Dividend Yield,0.029700000000000004
Dividend Change %,0.11539999999999999
"Dividend Growth Rate, 3 Years",0.0371
EPS Growth (MRQ),-0.5397
EPS Growth (TTM),0.5136999999999999
Revenue Growth (MRQ),-0.1486
Revenue Growth (TTM),0.18920000000000003
Return On Equity (TTM),0.30510000000000004
Return On Assets (TTM),0.1438
Return On Investment (TTM),0.1841
Revenue Per Employee (TTM),1007667.0
Total Debt/Total Capital (MRQ),0.27190000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.33
Interest Coverage (MRQ),92.5
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-08-02 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-21 00:00:00
ford since,2022-09-23 00:00:00
marketEdge opinion since,
