,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,56.5,53.23,44.75,,,,,
low,34.8,34.86,36.15,,,,,
change,0.1375,-0.203,0.0695,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,1541.0,1792.0,2108.0,992.0,Balance Sheet
Short Term Investments,,,,1262.0,1120.0,1293.0,1225.0,Balance Sheet
Cash and Short Term Invs,,,,2803.0,2911.0,3401.0,2217.0,Balance Sheet
"Trade Accts Recvble, Net",,,,53.0,51.0,18.0,16.0,Balance Sheet
Other Receivables,,,,15.0,15.0,17.0,19.0,Balance Sheet
"Total Receivables, Net",,,,68.0,66.0,35.0,35.0,Balance Sheet
"Other Curr. Assets, Total",,,,7.0,5.0,67.0,91.0,Balance Sheet
Total Current Assets,,,,2878.0,2982.0,3504.0,2342.0,Balance Sheet
Intangibles - Gross,,,,606.0,606.0,606.0,606.0,Balance Sheet
Accum. Intangible Amort.,,,,-601.0,-606.0,-606.0,-606.0,Balance Sheet
Intangibles - Net,,,,6.0,0.0,0.0,0.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,435.0,418.0,412.0,410.0,Balance Sheet
LT Investments - Other,,,,14192.0,13974.0,13791.0,14890.0,Balance Sheet
Long Term Investments,,,,14628.0,14393.0,14203.0,15300.0,Balance Sheet
Other Long Term Assets,,,,4.0,4.0,33.0,31.0,Balance Sheet
Total Assets,,,,17516.0,17379.0,17740.0,17673.0,Balance Sheet
Payable/Accrued,,,,6.0,7.0,12.0,16.0,Balance Sheet
Accrued Expenses,,,,58.0,13.0,54.0,13.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,997.0,Balance Sheet
Other Payables,,,,0.0,,,,Balance Sheet
Other Current Liabilities,,,,108.0,116.0,116.0,106.0,Balance Sheet
"Other Curr. Lblts, Total",,,,108.0,116.0,116.0,106.0,Balance Sheet
Total Current Liabilities,,,,171.0,136.0,182.0,1132.0,Balance Sheet
Total Long Term Debt,,,,7096.0,7101.0,7106.0,6115.0,Balance Sheet
Total Debt,,,,7096.0,7101.0,7106.0,7111.0,Balance Sheet
Minority Interest,,,,4472.0,4364.0,4381.0,4264.0,Balance Sheet
"Other Liabilities, Total",,,,,,44.0,10.0,Balance Sheet
Total Liabilities,,,,11739.0,11601.0,11713.0,11521.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,3508.0,3543.0,3571.0,3633.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,2255.0,2225.0,2446.0,2505.0,Balance Sheet
Treasury Stock - Common,,,,-3.0,-3.0,-3.0,-3.0,Balance Sheet
Unrealized Gain (Loss),,,,16.0,12.0,13.0,17.0,Balance Sheet
"Other Equity, Total",,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,5777.0,5778.0,6027.0,6152.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,17516.0,17379.0,17740.0,17673.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,433.0,435.0,437.0,441.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,174.0,172.0,170.0,166.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,607.0,607.0,607.0,607.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
