,RPRX
% Below High,0.039900000000000005
% Held by Institutions,0.6724
52-Wk Range,['36.15 - 44.75']
Annual Dividend $,0.76
Annual Dividend %,0.0177
Ask,42.97
Ask Size,400.0
B/A Ratio,1.75
B/A Size,700x400
Beta,
Bid,42.95
Bid Size,700.0
Day Change $,-0.015
Day Change %,-0.0003
Day High,43.08
Day Low,42.68
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.16
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.247
Last (size),1.0
Last (time),1:16p ET 11/28/22
Market Cap,19.0B
"P/E Ratio (TTM, GAAP)",37.05
Prev Close,42.98
Price,42.97
Short Interest,0.0176
Today's Open,42.84
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.07272727272727275
Growth 1yr High Est,0.27491408934707895
Growth 1yr Consensus Est,0.17382068103717585
Growth 2yr Low Est,0.10246533127889057
Growth 2yr High Est,0.18732227378405164
Growth 2yr Consensus Est,0.1448938025314711
Growth 5yr Low Est,0.13009183004799607
Growth 5yr High Est,0.17343794630222864
Growth 5yr Consensus Est,0.15176488817511236
Growth 5yr Actual/Est,0.14114541277799683
Growth 3yr Historic,0.06420765027322406
Price/Earnings (TTM),37.0546
Price/Sales (TTM),11.61391
Price/Book (MRQ),4.24219
Price/Cash Flow (TTM),28.83064
5yr Low,34.8
5yr High,56.5
5yr Avg Return,0.0013333333333333316
Short Int Current Month,5674570.0
Short Int Prev Month,6652708.0
Short Int Pct of Float,0.0175712
Days to Cover,3.62487
Float,164.951
Shares Outstanding,607.2218
Institutions Holding Shares,483.0
FCF Growth 5yr,-1.2258671052070864
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",37.05
"PEG Ratio (TTM, GAAP)",3.76
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4197
Net Profit Margin (TTM),0.39770000000000005
Annual Dividend Yield,0.0177
Dividend Change %,1.2667
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.535
EPS Growth (TTM),-0.39630000000000004
Revenue Growth (MRQ),0.07
Revenue Growth (TTM),-0.0169
Return On Equity (TTM),0.0849
Return On Assets (TTM),0.050499999999999996
Return On Investment (TTM),0.071
Revenue Per Employee (TTM),34047980.0
Total Debt/Total Capital (MRQ),0.4057
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-12-17 00:00:00
theStreet since,2021-08-12 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
