,RPRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",37.05,26.92,Valuation,1.3763001485884099
Price/Sales (TTM),11.61,18.11,Valuation,0.6410822749861954
Price/Book (MRQ),4.24,11.51,Valuation,0.368375325803649
"PEG Ratio (TTM, GAAP)",3.76,0.46,Valuation,8.17391304347826
Gross Profit Margin (TTM),,0.6773,Profitability,
Operating Profit Margin (TTM),0.4197,-0.8239000000000001,Profitability,-0.5094064813690982
Net Profit Margin (TTM),0.39770000000000005,-0.8640000000000001,Profitability,-0.4603009259259259
Annual Dividend Yield,0.0177,0.0217,Dividend,0.815668202764977
Dividend Change %,1.2667,0.0947,Dividend,13.375923970432945
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),-0.535,0.0883,Gowth rates,-6.058890147225368
EPS Growth (TTM),-0.39630000000000004,0.5870000000000001,Gowth rates,-0.6751277683134582
Revenue Growth (MRQ),0.07,0.0441,Gowth rates,1.5873015873015874
Revenue Growth (TTM),-0.0169,0.1761,Gowth rates,-0.09596819988642816
Return On Equity (TTM),0.0849,0.30160000000000003,Effectiveness,0.28149867374005305
Return On Assets (TTM),0.050499999999999996,0.092,Effectiveness,0.5489130434782609
Return On Investment (TTM),0.071,0.13820000000000002,Effectiveness,0.5137481910274962
Revenue Per Employee (TTM),34047980.0,1425813.0,Effectiveness,23.87969530366184
Total Debt/Total Capital (MRQ),0.4057,0.4169,Financial strength,0.97313504437515
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0,Financial strength,inf
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.08,Financial strength,
