,PRPL,Industry,Type,Ratio to Industry
Total Debt/Total Capital (MRQ),0.1345,0.29309999999999997,Valuation,0.45888775162060735
Change in Debt/Total Capital Quarter over Quarter,-0.002,-0.0005,Valuation,4.0
Quick Ratio (MRQ),0.95,0.53,Valuation,1.792452830188679
Interest Coverage (MRQ),5.34,51.09,Valuation,0.10452143276570756
Gross Profit Margin (TTM),0.3639,0.3091,Profitability,1.177288903267551
Operating Profit Margin (TTM),-0.0954,0.1507,Profitability,-0.6330457863304578
Net Profit Margin (TTM),-0.06730000000000001,0.11320000000000001,Profitability,-0.59452296819788
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),1.2627,-0.0688,Gowth rates,-18.353197674418603
EPS Growth (TTM),0.835,0.16670000000000001,Gowth rates,5.008998200359927
Revenue Growth (MRQ),-0.0058,0.1173,Gowth rates,-0.04944586530264279
Revenue Growth (TTM),-0.1355,0.149,Gowth rates,-0.9093959731543625
Return On Equity (TTM),-0.1998,0.38439999999999996,Effectiveness,-0.5197710718002082
Return On Assets (TTM),-0.0646,0.135,Effectiveness,-0.4785185185185185
Return On Investment (TTM),-0.07980000000000001,0.1699,Effectiveness,-0.4696880517951737
Revenue Per Employee (TTM),342777.0,1633986.0,Effectiveness,0.20977964315483733
Total Debt/Total Capital (MRQ),0.1345,0.29309999999999997,Financial strength,0.45888775162060735
Change in Debt/Total Capital Quarter over Quarter,-0.002,-0.0005,Financial strength,4.0
Quick Ratio (MRQ),0.95,0.53,Financial strength,1.792452830188679
Interest Coverage (MRQ),5.34,51.09,Financial strength,0.10452143276570756
