,PRPL
% Above Low,0.6509
% Held by Institutions,0.9085
52-Wk Range,['2.65 - 14.15']
Annual Dividend $,
Annual Dividend %,
Ask,4.38
Ask Size,800.0
B/A Ratio,1.25
B/A Size,1000x800
Beta,1.5
Bid,4.37
Bid Size,1000.0
Day Change $,-0.175
Day Change %,-0.0385
Day High,4.67
Day Low,4.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.6
Ex-dividend Date,No dividend
Historical Volatility,1.051
Last (size),100.0
Last (time),11:36a ET 11/28/22
Market Cap,399.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,4.55
Price,4.38
Short Interest,0.0677
Today's Open,4.55
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6060606060606061
Growth 2yr High Est,-1.074074074074074
Growth 2yr Consensus Est,-0.84006734006734
Growth 5yr Low Est,-0.6060606060606061
Growth 5yr High Est,-1.074074074074074
Growth 5yr Consensus Est,-0.84006734006734
Growth 5yr Actual/Est,-0.26823378234668555
Growth 3yr Historic,0.28273809523809523
Price/Earnings (TTM),
Price/Sales (TTM),0.67718
Price/Book (MRQ),1.68749
Price/Cash Flow (TTM),
5yr Low,2.65
5yr High,41.08
5yr Avg Return,0.25836666666666663
Short Int Current Month,6101865.0
Short Int Prev Month,6937306.0
Short Int Pct of Float,0.0676799
Days to Cover,4.6834
Float,90.16002
Shares Outstanding,91.82845
Institutions Holding Shares,159.0
FCF Growth 5yr,-0.05158180415498318
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
Total Debt/Total Capital (MRQ),0.1345
Change in Debt/Total Capital Quarter over Quarter,-0.002
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),5.34
Gross Profit Margin (TTM),0.3639
Operating Profit Margin (TTM),-0.0954
Net Profit Margin (TTM),-0.06730000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2627
EPS Growth (TTM),0.835
Revenue Growth (MRQ),-0.0058
Revenue Growth (TTM),-0.1355
Return On Equity (TTM),-0.1998
Return On Assets (TTM),-0.0646
Return On Investment (TTM),-0.07980000000000001
Revenue Per Employee (TTM),342777.0
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-05-21 00:00:00
theStreet since,2021-06-23 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
