,MGI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",64.27,53.12,Valuation,1.209902108433735
Price/Sales (TTM),0.81,19.35,Valuation,0.04186046511627907
Price/Book (MRQ),,19.03,Valuation,
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),0.47450000000000003,0.44520000000000004,Profitability,1.0658131176999102
Operating Profit Margin (TTM),0.0576,0.3027,Profitability,0.1902874132804757
Net Profit Margin (TTM),0.0128,0.23600000000000002,Profitability,0.05423728813559322
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),0.35619999999999996,-3.5570999999999997,Gowth rates,-0.10013775266368671
EPS Growth (TTM),1.4311000000000003,0.15560000000000002,Gowth rates,9.197300771208226
Revenue Growth (MRQ),0.0036,0.16460000000000002,Gowth rates,0.021871202916160386
Revenue Growth (TTM),0.008,0.2273,Gowth rates,0.03519577650681918
Return On Equity (TTM),,0.5459,Effectiveness,
Return On Assets (TTM),0.0037,0.1131,Effectiveness,0.032714412024756855
Return On Investment (TTM),0.0039000000000000003,0.189,Effectiveness,0.020634920634920634
Revenue Per Employee (TTM),420768.0,686063.0,Effectiveness,0.6133081072729473
Total Debt/Total Capital (MRQ),1.311,0.5613,Financial strength,2.3356493853554245
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0048,Financial strength,0.0
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),1.95,27.21,Financial strength,0.07166482910694597
