,MGI
Price/Earnings (TTM),64.26659
Price/Sales (TTM),0.80666
Price/Book (MRQ),
Price/Cash Flow (TTM),15.31111
5yr Low,1.15
5yr High,14.44
5yr Avg Return,0.24625
EPS Growth 5yr,
Revenue Growth 5yr,-0.046705500000000004
Dividend Growth 5yr,
Short Int Current Month,5292389.0
Short Int Prev Month,5944734.0
Short Int Pct of Float,0.059275900000000006
Days to Cover,7.27457
Float,89.28407
Shares Outstanding,96.54504
Institutions Holding Shares,227.0
% Held by Institutions,0.841077
FCF Growth 5yr,1.21708310266185
