,FOXA
% Above Low,0.1169
% Held by Institutions,1.0171999999999999
52-Wk Range,['28.02 - 44.95']
Annual Dividend $,0.5
Annual Dividend %,0.016
Ask,31.4
Ask Size,13200.0
B/A Ratio,0.22727272727272727
B/A Size,3000x13200
Beta,0.8
Bid,30.86
Bid Size,3000.0
Closing Price,31.29
Day Change $,0.21
Day Change %,0.0068000000000000005
Day High,31.31
Day Low,30.97
Dividend Pay Date,2022-09-28 00:00:00
"EPS (TTM, GAAP)",1.99
Ex-dividend,2022-08-30 00:00:00
Ex-dividend Date,08/30/22
Historical Volatility,0.319
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,17.0B
"P/E Ratio (TTM, GAAP)",15.72
Prev Close,31.08
Short Interest,0.0287
Today's Open,31.11
Volume,901106.0
Volume 10-day Avg,2398128.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.4334763948497853
Growth 1yr High Est,0.2931034482758621
Growth 1yr Consensus Est,0.3632899215628237
Growth 2yr Low Est,0.07601963455064115
Growth 2yr High Est,0.12921839080459774
Growth 2yr Consensus Est,0.10261901267761944
Growth 5yr Low Est,0.043722628715686246
Growth 5yr High Est,0.10168157876284092
Growth 5yr Consensus Est,0.07270210373926358
Growth 5yr Actual/Est,0.07499686759613627
Growth 3yr Historic,0.032510080645161255
Price/Earnings (TTM),15.71612
Price/Sales (TTM),1.17123
Price/Book (MRQ),1.47846
Price/Cash Flow (TTM),10.87369
5yr Low,19.81
5yr High,44.95
5yr Avg Return,-0.03505
EPS Growth 5yr,-0.008909
Revenue Growth 5yr,0.0709102
Dividend Growth 5yr,
Short Int Current Month,8536609.0
Short Int Prev Month,8164416.0
Short Int Pct of Float,0.028698199999999997
Days to Cover,2.47692
Float,434.0446
Shares Outstanding,542.6936
Institutions Holding Shares,757.0
FCF Growth 5yr,-0.5929447859853693
"Price/Earnings (TTM, GAAP)",15.72
"PEG Ratio (TTM, GAAP)",2.49
Gross Profit Margin (TTM),0.3483
Operating Profit Margin (TTM),0.16899999999999998
Net Profit Margin (TTM),0.0806
EPS Growth (MRQ),1.0135
EPS Growth (TTM),-0.3308
Revenue Growth (MRQ),0.0524
Revenue Growth (TTM),0.0668
Return On Equity (TTM),0.0966
Return On Assets (TTM),0.0499
Return On Investment (TTM),0.0572
Revenue Per Employee (TTM),1332170.0
Total Debt/Total Capital (MRQ),0.3796
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),3.16
Interest Coverage (MRQ),21.04
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-01-25 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
