,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,41.95,39.74,44.8,44.95,,,,,
low,29.7,19.81,28.46,28.02,,,,,
change,-0.0245,-0.22160000000000002,0.262,-0.1561,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,4255.0,4634.0,5200.0,4950.0,Balance Sheet
"Total Receivables, Net",,,,,2952.0,2338.0,2128.0,2268.0,Balance Sheet
Total Inventory,,,,,1148.0,786.0,791.0,1020.0,Balance Sheet
"Other Curr. Assets, Total",,,,,159.0,158.0,162.0,257.0,Balance Sheet
Total Current Assets,,,,,8514.0,7916.0,8281.0,8495.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,2126.0,2100.0,2159.0,2134.0,Balance Sheet
"Goodwill, Net",,,,,3565.0,3560.0,3554.0,3550.0,Balance Sheet
Intangibles - Net,,,,,3198.0,3176.0,3157.0,3135.0,Balance Sheet
Long Term Investments,,,,,831.0,648.0,578.0,649.0,Balance Sheet
Other Long Term Assets,,,,,969.0,997.0,1016.0,1127.0,Balance Sheet
Total Assets,,,,,22878.0,22016.0,22185.0,22424.0,Balance Sheet
Accounts Payable,,,,,771.0,766.0,686.0,727.0,Balance Sheet
Accrued Expenses,,,,,955.0,969.0,1099.0,931.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,750.0,0.0,0.0,,Balance Sheet
Customer Advances,,,,,163.0,165.0,209.0,282.0,Balance Sheet
Other Current Liabilities,,,,,231.0,221.0,302.0,422.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,394.0,386.0,511.0,704.0,Balance Sheet
Total Current Liabilities,,,,,2870.0,2121.0,2296.0,2362.0,Balance Sheet
Total Long Term Debt,,,,,7204.0,7205.0,7206.0,7207.0,Balance Sheet
Total Debt,,,,,7954.0,7205.0,7206.0,7207.0,Balance Sheet
Minority Interest,,,,,187.0,193.0,224.0,257.0,Balance Sheet
Pension Benefits - Underfunded,,,,,560.0,544.0,447.0,441.0,Balance Sheet
Other LT Liabilities,,,,,782.0,753.0,673.0,636.0,Balance Sheet
"Other Liabilities, Total",,,,,1342.0,1297.0,1120.0,1077.0,Balance Sheet
Total Liabilities,,,,,11603.0,10816.0,10846.0,10903.0,Balance Sheet
Common Stock,,,,,6.0,6.0,6.0,5.0,Balance Sheet
Additional Paid-In Capital,,,,,9265.0,9195.0,9098.0,8949.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,2308.0,2300.0,2461.0,2795.0,Balance Sheet
"Other Equity, Total",,,,,-304.0,-301.0,-226.0,-228.0,Balance Sheet
Total Equity,,,,,11275.0,11200.0,11339.0,11521.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,22878.0,22016.0,22185.0,22424.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,317.0,313.0,307.0,304.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,248.0,246.0,243.0,241.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,564.0,558.0,551.0,544.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,4441.0,3455.0,3033.0,3192.0,Income Statement
"Cost of Revenue, Total",,,,,3667.0,2164.0,1715.0,1656.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,468.0,485.0,552.0,448.0,Income Statement
Depreciation/Amortization,,,,,93.0,92.0,99.0,99.0,Income Statement
Restructuring Charge,,,,,0.0,0.0,0.0,,Income Statement
Litigation,,,,,32.0,22.0,10.0,61.0,Income Statement
Other Unusual Expnse (In),,,,,11.0,17.0,28.0,16.0,Income Statement
