,HUBS
% Above Low,0.1843
% Held by Institutions,0.9192
52-Wk Range,['245.03 - 862.00']
Annual Dividend $,
Annual Dividend %,
Ask,300.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,284.95
Bid Size,200.0
Closing Price,290.18
Day Change $,0.88
Day Change %,0.003
Day High,293.07
Day Low,284.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.37
Ex-dividend Date,No dividend
Historical Volatility,0.76
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,14.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,289.3
Short Interest,0.0525
Today's Open,287.0
Volume,328146.0
Volume 10-day Avg,882635.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.38068181818181834
Growth 1yr High Est,0.35675675675675667
Growth 1yr Consensus Est,0.3687192874692875
Growth 2yr Low Est,0.13272774036662927
Growth 2yr High Est,0.3297728006891354
Growth 2yr Consensus Est,0.23125027052788233
Growth 5yr Low Est,0.13272774036662927
Growth 5yr High Est,0.3297728006891354
Growth 5yr Consensus Est,0.23125027052788233
Growth 5yr Actual/Est,0.22775116449815241
Growth 3yr Historic,0.10660173160173159
Price/Earnings (TTM),
Price/Sales (TTM),8.64446
Price/Book (MRQ),15.54636
Price/Cash Flow (TTM),
5yr Low,73.15
5yr High,866.0
5yr Avg Return,0.3956333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.3685143
Dividend Growth 5yr,
Short Int Current Month,2423936.0
Short Int Prev Month,2655797.0
Short Int Pct of Float,0.052465700000000004
Days to Cover,2.15419
Float,46.26215
Shares Outstanding,48.57619
Institutions Holding Shares,817.0
FCF Growth 5yr,0.008574816270132605
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8126000000000001
Operating Profit Margin (TTM),-0.0638
Net Profit Margin (TTM),-0.0696
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.44560000000000005
EPS Growth (TTM),-0.4376
Revenue Growth (MRQ),0.0526
Revenue Growth (TTM),0.3779
Return On Equity (TTM),-0.1305
Return On Assets (TTM),-0.052000000000000005
Return On Investment (TTM),-0.0722
Revenue Per Employee (TTM),276611.0
Total Debt/Total Capital (MRQ),0.3335
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-02-14 00:00:00
researchTeam since,2022-02-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-03-25 00:00:00
cfra since,
marketEdge opinion since,
