,ANDE
% Above Low,0.275
% Held by Institutions,0.85
52-Wk Range,['29.35 - 59.00']
Annual Dividend $,0.72
Annual Dividend %,0.0192
Ask,37.75
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,37.09
Bid Size,200.0
Closing Price,37.42
Day Change $,-0.54
Day Change %,-0.014199999999999999
Day High,38.07
Day Low,37.39
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",3.97
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.529
Last (size),15.0
Last (time),12:59p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.41
Prev Close,37.96
Short Interest,0.0327
Today's Open,37.66
Volume,93666.0
Volume 10-day Avg,147160.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-49.857142857142854
Growth 1yr High Est,11.392857142857142
Growth 1yr Consensus Est,-19.232142857142854
Growth 2yr Low Est,-25.11862990810359
Growth 2yr High Est,5.686342116097159
Growth 2yr Consensus Est,-9.716143896003215
Growth 5yr Low Est,-16.74575327206906
Growth 5yr High Est,3.7908947440647727
Growth 5yr Consensus Est,-6.477429264002144
Growth 5yr Actual/Est,7.546151696849774
Growth 3yr Historic,7.545085470085471
Price/Earnings (TTM),9.41388
Price/Sales (TTM),0.0763
Price/Book (MRQ),1.05846
Price/Cash Flow (TTM),3.71659
5yr Low,10.0
5yr High,59.0
5yr Avg Return,0.05315
EPS Growth 5yr,0.4851151
Revenue Growth 5yr,0.2629724
Dividend Growth 5yr,0.026028600000000002
Short Int Current Month,1031684.0
Short Int Prev Month,1212326.0
Short Int Pct of Float,0.0326823
Days to Cover,4.63237
Float,31.61453
Shares Outstanding,33.50291
Institutions Holding Shares,267.0
FCF Growth 5yr,2.1012548560017
"Price/Earnings (TTM, GAAP)",9.41
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0431
Operating Profit Margin (TTM),0.0158
Net Profit Margin (TTM),0.0121
Annual Dividend Yield,0.0192
Dividend Change %,0.0070999999999999995
"Dividend Growth Rate, 3 Years",0.0197
EPS Growth (MRQ),-0.7846
EPS Growth (TTM),0.5910000000000001
Revenue Growth (MRQ),-0.052000000000000005
Revenue Growth (TTM),0.44920000000000004
Return On Equity (TTM),0.12279999999999999
Return On Assets (TTM),0.049
Return On Investment (TTM),0.1092
Revenue Per Employee (TTM),7156184.0
Total Debt/Total Capital (MRQ),0.4696
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),0.74
Interest Coverage (MRQ),3.37
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-03 00:00:00
