,ANDE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.41,32.14,Valuation,0.29278158058494086
Price/Sales (TTM),0.08,0.72,Valuation,0.11111111111111112
Price/Book (MRQ),1.06,8.68,Valuation,0.12211981566820278
"PEG Ratio (TTM, GAAP)",,0.86,Valuation,
Gross Profit Margin (TTM),0.0431,0.20010000000000003,Profitability,0.21539230384807592
Operating Profit Margin (TTM),0.0158,0.033,Profitability,0.4787878787878788
Net Profit Margin (TTM),0.0121,0.0192,Profitability,0.6302083333333334
Annual Dividend Yield,0.0192,0.0138,Dividend,1.391304347826087
Dividend Change %,0.0070999999999999995,0.0572,Dividend,0.12412587412587411
"Dividend Growth Rate, 3 Years",0.0197,0.053899999999999997,Dividend,0.3654916512059369
EPS Growth (MRQ),-0.7846,-0.6058,Gowth rates,1.2951469131726643
EPS Growth (TTM),0.5910000000000001,0.3755,Gowth rates,1.5739014647137153
Revenue Growth (MRQ),-0.052000000000000005,0.1126,Gowth rates,-0.4618117229129663
Revenue Growth (TTM),0.44920000000000004,0.10740000000000001,Gowth rates,4.182495344506518
Return On Equity (TTM),0.12279999999999999,0.2335,Effectiveness,0.5259100642398287
Return On Assets (TTM),0.049,0.0572,Effectiveness,0.8566433566433567
Return On Investment (TTM),0.1092,0.1033,Effectiveness,1.0571151984511133
Revenue Per Employee (TTM),7156184.0,518753.0,Effectiveness,13.794973715814656
Total Debt/Total Capital (MRQ),0.4696,0.3837,Financial strength,1.2238728173051865
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002,0.0003,Financial strength,4.666666666666668
Quick Ratio (MRQ),0.74,0.36,Financial strength,2.055555555555556
Interest Coverage (MRQ),3.37,5.73,Financial strength,0.588132635253054
