,CHPT
% Above Low,0.4106
% Held by Institutions,0.517
52-Wk Range,['8.50 - 26.75']
Annual Dividend $,
Annual Dividend %,
Ask,12.03
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,11.82
Bid Size,200.0
Closing Price,11.99
Day Change $,0.02
Day Change %,0.0017000000000000001
Day High,12.07
Day Low,11.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.94
Ex-dividend Date,No dividend
Historical Volatility,0.8620000000000001
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,4.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.97
Short Interest,0.1671
Today's Open,11.98
Volume,3362248.0
Volume 10-day Avg,7667585.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.2912621359223301
Growth 2yr High Est,-0.45070422535211263
Growth 2yr Consensus Est,-0.37098318063722135
Growth 5yr Low Est,-0.2912621359223301
Growth 5yr High Est,-0.45070422535211263
Growth 5yr Consensus Est,-0.37098318063722135
Growth 5yr Actual/Est,-0.3082852263180132
Growth 3yr Historic,-0.30716430716430715
Price/Earnings (TTM),
Price/Sales (TTM),12.18969
Price/Book (MRQ),10.37164
Price/Cash Flow (TTM),
5yr Low,8.5
5yr High,49.48
5yr Avg Return,0.553925
Short Int Current Month,43601237.0
Short Int Prev Month,39906831.0
Short Int Pct of Float,0.1671188
Days to Cover,5.34625
Float,329.0061
Shares Outstanding,339.8676
Institutions Holding Shares,456.0
FCF Growth 5yr,0.26331005442933975
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1908
Operating Profit Margin (TTM),-0.9714
Net Profit Margin (TTM),-0.932
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0317
EPS Growth (TTM),0.16690000000000002
Revenue Growth (MRQ),0.32659999999999995
Revenue Growth (TTM),0.9061
Return On Equity (TTM),-0.6724
Return On Assets (TTM),-0.34299999999999997
Return On Investment (TTM),-0.42979999999999996
Revenue Per Employee (TTM),232799.0
Total Debt/Total Capital (MRQ),0.429
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.62
Interest Coverage (MRQ),-61.56
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-06-01 00:00:00
ford since,2022-07-08 00:00:00
cfra since,
theStreet since,2022-06-01 00:00:00
newConstructs since,
marketEdge opinion since,
