,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,9.86,49.48,46.3,20.99,,,,,
low,9.63,9.38,17.52,8.5,,,,,
change,0.015500000000000002,3.0814999999999997,-0.4987,-0.3826,,,,,
Date,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash & Equivalents,,,,,365.0,315.0,541.0,188.0,Balance Sheet
Short Term Investments,,,,,,,,284.0,Balance Sheet
Cash and Short Term Invs,,,,,365.0,315.0,541.0,472.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,69.0,82.0,87.0,117.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-3.0,-6.0,-8.0,-7.0,Balance Sheet
"Total Receivables, Net",,,,,66.0,76.0,80.0,110.0,Balance Sheet
Invent. - Finished Goods,,,,,22.0,26.0,32.0,38.0,Balance Sheet
Invent. - Work In Progress,,,,,0.0,0.0,,,Balance Sheet
Invent. - Raw Materials,,,,,7.0,10.0,13.0,15.0,Balance Sheet
Total Inventory,,,,,30.0,36.0,45.0,53.0,Balance Sheet
Prepaid Expenses,,,,,33.0,37.0,24.0,26.0,Balance Sheet
Restricted Cash - Current,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Current Assets,,,,,,,22.0,19.0,Balance Sheet
"Other Curr. Assets, Total",,,,,0.0,0.0,22.0,20.0,Balance Sheet
Total Current Assets,,,,,495.0,464.0,712.0,680.0,Balance Sheet
Buildings,,,,,11.0,11.0,11.0,10.0,Balance Sheet
Machinery/Equipment,,,,,21.0,22.0,24.0,27.0,Balance Sheet
Construction in Progress,,,,,3.0,3.0,3.0,4.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,56.0,60.0,59.0,56.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,91.0,95.0,97.0,98.0,Balance Sheet
Accumulated Depreciation,,,,,-33.0,-35.0,-38.0,-39.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,58.0,60.0,59.0,59.0,Balance Sheet
"Goodwill, Net",,,,,201.0,218.0,210.0,206.0,Balance Sheet
Intangibles - Gross,,,,,144.0,112.0,107.0,104.0,Balance Sheet
Accum. Intangible Amort.,,,,,-2.0,-5.0,-7.0,-10.0,Balance Sheet
Intangibles - Net,,,,,143.0,107.0,100.0,94.0,Balance Sheet
Other Long Term Assets,,,,,5.0,6.0,6.0,7.0,Balance Sheet
Total Assets,,,,,901.0,856.0,1087.0,1046.0,Balance Sheet
Accounts Payable,,,,,32.0,28.0,35.0,45.0,Balance Sheet
Accrued Expenses,,,,,57.0,61.0,63.0,71.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,0.0,0.0,,,Balance Sheet
Customer Advances,,,,,59.0,77.0,82.0,84.0,Balance Sheet
Income Taxes Payable,,,,,10.0,9.0,12.0,13.0,Balance Sheet
Other Current Liabilities,,,,,9.0,14.0,21.0,26.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,78.0,100.0,115.0,123.0,Balance Sheet
Total Current Liabilities,,,,,167.0,189.0,213.0,239.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,294.0,294.0,Balance Sheet
Total Debt,,,,,0.0,0.0,294.0,294.0,Balance Sheet
Deferred Income Tax,,,,,28.0,18.0,15.0,13.0,Balance Sheet
"Other Liabilities, Total",,,,,120.0,102.0,101.0,108.0,Balance Sheet
Total Liabilities,,,,,316.0,309.0,622.0,654.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,1337.0,1367.0,1387.0,1414.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-752.0,-812.0,-901.0,-994.0,Balance Sheet
"Other Equity, Total",,,,,0.0,-8.0,-21.0,-29.0,Balance Sheet
Total Equity,,,,,585.0,547.0,465.0,392.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,901.0,856.0,1087.0,1046.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,331.0,335.0,337.0,339.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,,65034.0,79341.0,81633.0,108292.0,Income Statement
"Cost of Revenue, Total",,,,,48978.0,61858.0,69526.0,90139.0,Income Statement
Selling/Gen/Admin Expense,,,,,30532.0,44539.0,44682.0,43061.0,Income Statement
Labor & Related Expense,,,,,9297.0,9466.0,8953.0,13658.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,39829.0,54005.0,53635.0,56719.0,Income Statement
Research & Development,,,,,36751.0,42508.0,48302.0,51804.0,Income Statement
Unusual Expense (Income),,,,,4800.0,200.0,,,Income Statement
Total Operating Expense,,,,,130358.0,158571.0,171463.0,198662.0,Income Statement
Total Operating Income,,,,,-65324.0,-79230.0,-89830.0,-90370.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-3.0,0.0,-933.0,-2928.0,Income Statement
"Inter Income, Non-Operating",,,,,25.0,26.0,106.0,1460.0,Income Statement
"Invest Income, Non-Operat",,,,,0.0,0.0,0.0,0.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,25.0,26.0,106.0,1460.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,-4454.0,16336.0,-471.0,-1254.0,Income Statement
