,BLUE
% Below High,0.3513
% Held by Institutions,0.7556
52-Wk Range,['2.87 - 11.70']
Annual Dividend $,
Annual Dividend %,
Ask,7.58
Ask Size,800.0
B/A Ratio,0.625
B/A Size,500x800
Beta,1.0
Bid,7.52
Bid Size,500.0
Closing Price,7.59
Day Change $,0.07
Day Change %,0.009300000000000001
Day High,7.61
Day Low,7.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.77
Ex-dividend Date,No dividend
Historical Volatility,1.023
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,629.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.52
Short Interest,0.235
Today's Open,7.41
Volume,1043156.0
Volume 10-day Avg,3542552.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.5604670558799
Growth 1yr High Est,-0.7895716945996276
Growth 1yr Consensus Est,-0.6750193752397637
Growth 2yr Low Est,-0.4234972850556995
Growth 2yr High Est,-0.6801840773883094
Growth 2yr Consensus Est,-0.5518406812220045
Growth 5yr Low Est,-0.2442109552449595
Growth 5yr High Est,-0.3347555602847236
Growth 5yr Consensus Est,-0.2894832577648415
Growth 5yr Actual/Est,-0.30319230721281043
Growth 3yr Historic,-0.027426791539809453
Price/Earnings (TTM),
Price/Sales (TTM),122.4055
Price/Book (MRQ),3.95991
Price/Cash Flow (TTM),
5yr Low,2.87
5yr High,236.17
5yr Avg Return,-0.33608333333333335
EPS Growth 5yr,
Revenue Growth 5yr,-0.0986405
Dividend Growth 5yr,
Short Int Current Month,19267273.0
Short Int Prev Month,22539562.0
Short Int Pct of Float,0.23497050000000003
Days to Cover,4.03062
Float,81.97693
Shares Outstanding,82.90998
Institutions Holding Shares,221.0
FCF Growth 5yr,0.11213280747617249
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-1.6719
Operating Profit Margin (TTM),-87.1803
Net Profit Margin (TTM),-83.8625
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.30870000000000003
EPS Growth (TTM),0.3165
Revenue Growth (MRQ),-0.9533
Revenue Growth (TTM),1.0216
Return On Equity (TTM),-0.8377
Return On Assets (TTM),-0.4637
Return On Investment (TTM),-0.588
Revenue Per Employee (TTM),9924.71
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2014-08-14 00:00:00
researchTeam since,
ford since,
marketEdge opinion since,
