,BLUE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),122.41,45.03,Valuation,2.71840994892294
Price/Book (MRQ),3.96,12.61,Valuation,0.3140364789849326
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),-1.6719,0.5874,Profitability,-2.8462717058222675
Operating Profit Margin (TTM),-87.1803,-4.7459,Profitability,18.369603236477804
Net Profit Margin (TTM),-83.8625,-4.5467,Profitability,18.444696153254007
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.30870000000000003,-0.0014000000000000002,Gowth rates,-220.5
EPS Growth (TTM),0.3165,0.027200000000000002,Gowth rates,11.636029411764705
Revenue Growth (MRQ),-0.9533,1.3963999999999999,Gowth rates,-0.6826840446863364
Revenue Growth (TTM),1.0216,0.9747,Gowth rates,1.0481173694470094
Return On Equity (TTM),-0.8377,0.1967,Effectiveness,-4.258769700050839
Return On Assets (TTM),-0.4637,0.0016,Effectiveness,-289.8125
Return On Investment (TTM),-0.588,0.0219,Effectiveness,-26.84931506849315
Revenue Per Employee (TTM),9924.71,1476201.0,Effectiveness,0.0067231427156599945
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
