,LC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.81,8.59,Valuation,0.4435389988358557
Price/Sales (TTM),0.94,1.88,Valuation,0.5
Price/Book (MRQ),0.99,3.02,Valuation,0.32781456953642385
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),,0.38079999999999997,Profitability,
Operating Profit Margin (TTM),0.1355,0.2543,Profitability,0.5328352339756194
Net Profit Margin (TTM),0.2487,0.19039999999999999,Profitability,1.3061974789915967
Annual Dividend Yield,,0.0187,Dividend,
Dividend Change %,,0.242,Dividend,
"Dividend Growth Rate, 3 Years",,0.0575,Dividend,
EPS Growth (MRQ),-0.7645000000000001,-0.1573,Gowth rates,4.860139860139861
EPS Growth (TTM),6.6911000000000005,-0.04820000000000001,Gowth rates,-138.81950207468878
Revenue Growth (MRQ),-0.0762,0.2511,Gowth rates,-0.30346475507765835
Revenue Growth (TTM),0.7998999999999999,0.21670000000000003,Gowth rates,3.691278264882325
Return On Equity (TTM),0.3065,0.2596,Effectiveness,1.1806625577812018
Return On Assets (TTM),0.0512,0.0326,Effectiveness,1.570552147239264
Return On Investment (TTM),0.1974,0.0432,Effectiveness,4.569444444444444
Revenue Per Employee (TTM),857479.0,448656.0,Effectiveness,1.9112170571662923
Total Debt/Total Capital (MRQ),0.8262999999999999,0.4919,Financial strength,1.679812970115877
Change in Debt/Total Capital Quarter over Quarter,0.0002,0.0012,Financial strength,0.16666666666666669
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),,16.82,Financial strength,
