,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,34.87,36.93,32.85,43.08,57.66,60.89,,,,,
low,31.25,21.02,22.49,18.17,39.21,42.72,,,,,
change,0.039700000000000006,-0.3264,0.36560000000000004,0.32670000000000005,0.3469,-0.078,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,148.0,210.0,217.0,220.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,142.0,189.0,234.0,223.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-2.0,-2.0,-2.0,-2.0,Balance Sheet
"Total Receivables, Net",,,,,,,140.0,187.0,232.0,221.0,Balance Sheet
Total Inventory,,,,,,,1020.0,1111.0,1274.0,1352.0,Balance Sheet
Prepaid Expenses,,,,,,,16.0,16.0,20.0,17.0,Balance Sheet
Total Current Assets,,,,,,,1324.0,1524.0,1743.0,1809.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1347.0,1331.0,1454.0,1456.0,Balance Sheet
"Goodwill, Net",,,,,,,370.0,370.0,418.0,416.0,Balance Sheet
Other Long Term Assets,,,,,,,78.0,96.0,54.0,62.0,Balance Sheet
Total Assets,,,,,,,3120.0,3322.0,3669.0,3743.0,Balance Sheet
Accounts Payable,,,,,,,122.0,171.0,176.0,186.0,Balance Sheet
Accrued Expenses,,,,,,,143.0,157.0,172.0,179.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,631.0,702.0,852.0,936.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,27.0,27.0,26.0,28.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,81.0,72.0,74.0,91.0,Balance Sheet
Total Current Liabilities,,,,,,,1004.0,1129.0,1300.0,1419.0,Balance Sheet
Long Term Debt,,,,,,,335.0,338.0,402.0,307.0,Balance Sheet
Capital Lease Obligations,,,,,,,90.0,86.0,82.0,83.0,Balance Sheet
Total Long Term Debt,,,,,,,425.0,424.0,484.0,390.0,Balance Sheet
Total Debt,,,,,,,1082.0,1153.0,1362.0,1354.0,Balance Sheet
Deferred Income Tax,,,,,,,140.0,141.0,145.0,148.0,Balance Sheet
Minority Interest,,,,,,,,,18.0,19.0,Balance Sheet
"Other Liabilities, Total",,,,,,,84.0,82.0,112.0,109.0,Balance Sheet
Total Liabilities,,,,,,,1653.0,1777.0,2058.0,2085.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,,471.0,482.0,488.0,495.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,1032.0,1113.0,1213.0,1292.0,Balance Sheet
Treasury Stock - Common,,,,,,,-37.0,-52.0,-91.0,-124.0,Balance Sheet
"Other Equity, Total",,,,,,,1.0,1.0,0.0,-6.0,Balance Sheet
Total Equity,,,,,,,1467.0,1545.0,1611.0,1657.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,3120.0,3322.0,3669.0,3743.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,,43.0,43.0,43.0,42.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,,12.0,13.0,12.0,12.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,56.0,56.0,55.0,54.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,1.0,1.0,1.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,,0.0,1.0,1.0,1.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,1312.0,1563.0,1791.0,1864.0,Income Statement
"Cost of Revenue, Total",,,,,,,1017.0,1218.0,1417.0,1483.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,192.0,224.0,225.0,243.0,Income Statement
Depreciation/Amortization,,,,,,,13.0,14.0,14.0,14.0,Income Statement
Unusual Expense (Income),,,,,,,0.0,0.0,0.0,-2.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,,,,,0.0,0.0,0.0,-2.0,Income Statement
Total Operating Expense,,,,,,,1222.0,1456.0,1656.0,1737.0,Income Statement
Total Operating Income,,,,,,,90.0,107.0,135.0,127.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-1.0,-1.0,-3.0,-6.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,2.0,14.0,8.0,0.0,Income Statement
"Other, Net",,,,,,,2.0,14.0,8.0,0.0,Income Statement
Income Before Tax,,,,,,,90.0,120.0,140.0,121.0,Income Statement
Income Tax - Total,,,,,,,22.0,28.0,30.0,30.0,Income Statement
Income After Tax,,,,,,,69.0,92.0,111.0,91.0,Income Statement
Minority Interest,,,,,,,,,0.0,0.0,Income Statement
Net Inc Before Extra Items,,,,,,,69.0,92.0,110.0,90.0,Income Statement
Total Net Income,,,,,,,69.0,92.0,110.0,90.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,69.0,92.0,110.0,90.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,69.0,92.0,110.0,90.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,56.0,56.0,56.0,55.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.23,1.65,1.98,1.64,Income Statement
