,RUSHA
% Above Low,0.2004
% Held by Institutions,1.0085
52-Wk Range,['42.72 - 60.89']
Annual Dividend $,0.84
Annual Dividend %,0.016200000000000003
Ask,51.31
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.1
Bid,51.2
Bid Size,200.0
Day Change $,-0.6
Day Change %,-0.0116
Day High,51.87
Day Low,51.26
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",6.29
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.31
Last (size),1.0
Last (time),1:18p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.25
Prev Close,51.88
Price,51.28
Short Interest,0.0388
Today's Open,51.7
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.27419354838709675
Growth 2yr High Est,-0.09921259842519681
Growth 2yr Consensus Est,-0.18670307340614678
Growth 5yr Low Est,-0.27419354838709675
Growth 5yr High Est,-0.09921259842519681
Growth 5yr Consensus Est,-0.18670307340614678
Growth 5yr Actual/Est,0.2930665015499775
Growth 3yr Historic,0.2142166627607218
Price/Earnings (TTM),8.24533
Price/Sales (TTM),0.43564
Price/Book (MRQ),1.70483
Price/Cash Flow (TTM),5.15665
5yr Low,18.17
5yr High,60.89
5yr Avg Return,0.11241666666666666
EPS Growth 5yr,0.44300530000000005
Revenue Growth 5yr,0.0399359
Dividend Growth 5yr,
Short Int Current Month,1621432.0
Short Int Prev Month,1839239.0
Short Int Pct of Float,0.0388398
Days to Cover,10.3475
Float,46.57204
Shares Outstanding,54.43686
Institutions Holding Shares,296.0
FCF Growth 5yr,0.40296075656052893
"Price/Earnings (TTM, GAAP)",8.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2137
Operating Profit Margin (TTM),0.0703
Net Profit Margin (TTM),0.0555
Annual Dividend Yield,0.016200000000000003
Dividend Change %,0.5
"Dividend Growth Rate, 3 Years",0.6736
EPS Growth (MRQ),-0.17379999999999998
EPS Growth (TTM),0.6984
Revenue Growth (MRQ),0.0408
Revenue Growth (TTM),0.2849
Return On Equity (TTM),0.2356
Return On Assets (TTM),0.1112
Return On Investment (TTM),0.16820000000000002
Revenue Per Employee (TTM),911321.0
Total Debt/Total Capital (MRQ),0.44680000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),0.32
Interest Coverage (MRQ),19.89
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-06-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
