,VREX
% Above Low,0.0767
% Held by Institutions,1.1233
52-Wk Range,['18.90 - 32.65']
Annual Dividend $,
Annual Dividend %,
Ask,20.37
Ask Size,1000.0
B/A Ratio,1.9
B/A Size,1900x1000
Beta,0.8
Bid,20.33
Bid Size,1900.0
Closing Price,20.35
Day Change $,-0.91
Day Change %,-0.042800000000000005
Day High,21.43
Day Low,20.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.74
Ex-dividend Date,No dividend
Historical Volatility,0.34500000000000003
Last (size),15600.0
Last (time),3:59p ET 11/28/22
Market Cap,815.6M
"P/E Ratio (TTM, GAAP)",28.87
Prev Close,21.26
Short Interest,0.1051
Today's Open,21.21
Volume,293237.0
Volume 10-day Avg,398130.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1517857142857142
Growth 2yr High Est,0.25185185185185177
Growth 2yr Consensus Est,0.20181878306878298
Growth 5yr Low Est,0.1517857142857142
Growth 5yr High Est,0.25185185185185177
Growth 5yr Consensus Est,0.20181878306878298
Growth 5yr Actual/Est,3.8934620668094264
Growth 3yr Historic,3.8666507633587788
Price/Earnings (TTM),28.87332
Price/Sales (TTM),0.992
Price/Book (MRQ),1.59769
Price/Cash Flow (TTM),13.23798
5yr Low,10.37
5yr High,43.76
5yr Avg Return,0.003349999999999997
EPS Growth 5yr,-0.1171285
Revenue Growth 5yr,0.0424507
Dividend Growth 5yr,
Short Int Current Month,4183579.0
Short Int Prev Month,4255009.0
Short Int Pct of Float,0.1050683
Days to Cover,16.31127
Float,39.83325
Shares Outstanding,40.1
Institutions Holding Shares,267.0
FCF Growth 5yr,-0.3434000935493473
"Price/Earnings (TTM, GAAP)",28.87
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3299
Operating Profit Margin (TTM),0.1026
Net Profit Margin (TTM),0.0358
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5897
EPS Growth (TTM),0.8041
Revenue Growth (MRQ),0.0788
Revenue Growth (TTM),0.050499999999999996
Return On Equity (TTM),0.0596
Return On Assets (TTM),0.026400000000000003
Return On Investment (TTM),0.0313
Revenue Per Employee (TTM),373652.0
Total Debt/Total Capital (MRQ),0.4314
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.77
Interest Coverage (MRQ),2.67
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-06-07 00:00:00
theStreet since,2021-06-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-02-11 00:00:00
cfra since,
marketEdge opinion since,
