,TSLA
Price/Earnings (TTM),56.33343
Price/Sales (TTM),7.71311
Price/Book (MRQ),14.49078
Price/Cash Flow (TTM),38.93901
5yr Low,11.8
5yr High,414.5
5yr Avg Return,1.2788833333333331
EPS Growth 5yr,
Revenue Growth 5yr,0.5037386
Dividend Growth 5yr,
Short Int Current Month,78270643.0
Short Int Prev Month,76828235.0
Short Int Pct of Float,0.0294069
Days to Cover,0.8127
Float,2642.266
Shares Outstanding,3157.752
Institutions Holding Shares,3391.0
% Held by Institutions,0.435597
FCF Growth 5yr,0.3597032275232313
