,TSLA
% Above Low,0.10070000000000001
% Held by Institutions,0.43560000000000004
52-Wk Range,['166.19 - 402.67']
Annual Dividend $,
Annual Dividend %,
Ask,183.92
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.9
Bid,183.8
Bid Size,200.0
Closing Price,182.92
Day Change $,0.06
Day Change %,0.0003
Day High,188.5
Day Low,179.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.25
Ex-dividend Date,No dividend
Historical Volatility,0.652
Last (size),9.0
Last (time),4:00p ET 11/28/22
Market Cap,577.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",56.33
Prev Close,182.86
Short Interest,0.0294
Today's Open,179.96
Volume,93038148.0
Volume 10-day Avg,84462460.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,-0.1876379690949227
Growth 1yr High Est,-0.3964817320703653
Growth 1yr Consensus Est,-0.292059850582644
Growth 2yr Low Est,-0.03947115846050481
Growth 2yr High Est,0.19525689181235095
Growth 2yr Consensus Est,0.07789286667592307
Growth 5yr Low Est,-0.5905571089752949
Growth 5yr High Est,2.525164677790234
Growth 5yr Consensus Est,0.9673037844074693
Growth 5yr Actual/Est,19.301045044463105
Growth 3yr Historic,19.003333333333334
Price/Earnings (TTM),56.33343
Price/Sales (TTM),7.71311
Price/Book (MRQ),14.49078
Price/Cash Flow (TTM),38.93901
5yr Low,11.8
5yr High,414.5
5yr Avg Return,1.2788833333333331
EPS Growth 5yr,
Revenue Growth 5yr,0.5037386
Dividend Growth 5yr,
Short Int Current Month,78270643.0
Short Int Prev Month,76828235.0
Short Int Pct of Float,0.0294069
Days to Cover,0.8127
Float,2642.266
Shares Outstanding,3157.752
Institutions Holding Shares,3391.0
FCF Growth 5yr,0.3597032275232313
"Price/Earnings (TTM, GAAP)",56.33
"PEG Ratio (TTM, GAAP)",1.17
Gross Profit Margin (TTM),0.2661
Operating Profit Margin (TTM),0.16519999999999999
Net Profit Margin (TTM),0.1499
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.45799999999999996
EPS Growth (TTM),2.16
Revenue Growth (MRQ),0.2669
Revenue Growth (TTM),0.598
Return On Equity (TTM),0.3344
Return On Assets (TTM),0.1697
Return On Investment (TTM),0.2583
Revenue Per Employee (TTM),753983.0
Total Debt/Total Capital (MRQ),0.0795
Change in Debt/Total Capital Quarter over Quarter,-0.006600000000000001
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-06-03 00:00:00
theStreet since,2022-11-02 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-25 00:00:00
ford since,2022-06-03 00:00:00
marketEdge opinion since,
