,TSLA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",56.33,39.97,Valuation,1.4093069802351763
Price/Sales (TTM),7.71,101.66,Valuation,0.07584103875663978
Price/Book (MRQ),14.49,11.49,Valuation,1.2610966057441253
"PEG Ratio (TTM, GAAP)",1.17,0.22,Valuation,5.3181818181818175
Gross Profit Margin (TTM),0.2661,0.11699999999999999,Profitability,2.2743589743589747
Operating Profit Margin (TTM),0.16519999999999999,-0.2699,Profitability,-0.6120785476102261
Net Profit Margin (TTM),0.1499,-0.2521,Profitability,-0.5946053153510512
Annual Dividend Yield,,0.0042,Dividend,
Dividend Change %,,-0.0204,Dividend,
"Dividend Growth Rate, 3 Years",,-0.0355,Dividend,
EPS Growth (MRQ),0.45799999999999996,0.7152,Gowth rates,0.6403803131991052
EPS Growth (TTM),2.16,1.7968000000000002,Gowth rates,1.2021371326803205
Revenue Growth (MRQ),0.2669,38.5199,Gowth rates,0.006928886108219389
Revenue Growth (TTM),0.598,40.138400000000004,Gowth rates,0.014898451358300278
Return On Equity (TTM),0.3344,0.2255,Effectiveness,1.4829268292682924
Return On Assets (TTM),0.1697,0.1081,Effectiveness,1.5698427382053652
Return On Investment (TTM),0.2583,0.1748,Effectiveness,1.4776887871853543
Revenue Per Employee (TTM),753983.0,729889.0,Effectiveness,1.0330104988566755
Total Debt/Total Capital (MRQ),0.0795,0.1877,Financial strength,0.4235482152370804
Change in Debt/Total Capital Quarter over Quarter,-0.006600000000000001,0.0070999999999999995,Financial strength,-0.9295774647887326
Quick Ratio (MRQ),1.04,1.3,Financial strength,0.8
Interest Coverage (MRQ),,0.51,Financial strength,
