,TXRH,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.85,114.03,Valuation,0.2266947294571604
Price/Sales (TTM),1.7,5.62,Valuation,0.30249110320284694
Price/Book (MRQ),6.79,8.49,Valuation,0.7997644287396938
"PEG Ratio (TTM, GAAP)",1.6,0.53,Valuation,3.018867924528302
Gross Profit Margin (TTM),0.657,0.4054,Profitability,1.6206216082881106
Operating Profit Margin (TTM),0.08109999999999999,0.163,Profitability,0.49754601226993855
Net Profit Margin (TTM),0.0694,0.0779,Profitability,0.8908857509627729
Annual Dividend Yield,0.018500000000000003,0.011200000000000002,Dividend,1.6517857142857142
Dividend Change %,0.0345,0.056100000000000004,Dividend,0.6149732620320856
"Dividend Growth Rate, 3 Years",0.06269999999999999,0.031000000000000003,Dividend,2.0225806451612898
EPS Growth (MRQ),-0.13,0.3309,Gowth rates,-0.3928679359323058
EPS Growth (TTM),0.27090000000000003,2.1359,Gowth rates,0.12683178051406904
Revenue Growth (MRQ),-0.030600000000000002,0.38439999999999996,Gowth rates,-0.07960457856399585
Revenue Growth (TTM),0.21660000000000001,0.7695000000000001,Gowth rates,0.2814814814814815
Return On Equity (TTM),0.2575,0.19090000000000001,Effectiveness,1.3488737558931376
Return On Assets (TTM),0.1126,0.0758,Effectiveness,1.4854881266490765
Return On Investment (TTM),0.1418,0.1005,Effectiveness,1.4109452736318409
Revenue Per Employee (TTM),53219.0,285753.0,Effectiveness,0.18624126430868618
Total Debt/Total Capital (MRQ),0.0703,1.1596,Financial strength,0.06062435322525009
Change in Debt/Total Capital Quarter over Quarter,-0.0059,0.002,Financial strength,-2.9499999999999997
Quick Ratio (MRQ),0.47,0.81,Financial strength,0.5802469135802468
Interest Coverage (MRQ),,40.22,Financial strength,
