,TXRH
% Below High,0.0347
% Held by Institutions,0.9525
52-Wk Range,['68.58 - 101.75']
Annual Dividend $,1.84
Annual Dividend %,0.018500000000000003
Ask,98.82
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,97.89
Bid Size,100.0
Closing Price,98.22
Day Change $,-0.98
Day Change %,-0.009899999999999999
Day High,101.22
Day Low,98.17
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",3.84
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.42700000000000005
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.85
Prev Close,99.2
Short Interest,0.0727
Today's Open,99.19
Volume,999871.0
Volume 10-day Avg,731111.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.214501510574018
Growth 1yr High Est,0.2134831460674158
Growth 1yr Consensus Est,0.2139923283207169
Growth 2yr Low Est,0.1433204070283025
Growth 2yr High Est,0.19817675821889313
Growth 2yr Consensus Est,0.17074858262359782
Growth 5yr Low Est,0.17988531173925948
Growth 5yr High Est,0.21534352314236838
Growth 5yr Consensus Est,0.19761441744081393
Growth 5yr Actual/Est,1.5714479287650018
Growth 3yr Historic,1.4901761517615175
Price/Earnings (TTM),25.85131
Price/Sales (TTM),1.70161
Price/Book (MRQ),6.7902
Price/Cash Flow (TTM),16.39156
5yr Low,25.15
5yr High,110.75
5yr Avg Return,0.12696666666666667
EPS Growth 5yr,0.1655245
Revenue Growth 5yr,0.11715249999999999
Dividend Growth 5yr,0.0956543
Short Int Current Month,4839911.0
Short Int Prev Month,4890519.0
Short Int Pct of Float,0.0727242
Days to Cover,5.3486
Float,66.5054
Shares Outstanding,66.91475
Institutions Holding Shares,457.0
FCF Growth 5yr,0.01649385034697637
"Price/Earnings (TTM, GAAP)",25.85
"PEG Ratio (TTM, GAAP)",1.6
Gross Profit Margin (TTM),0.657
Operating Profit Margin (TTM),0.08109999999999999
Net Profit Margin (TTM),0.0694
Annual Dividend Yield,0.018500000000000003
Dividend Change %,0.0345
"Dividend Growth Rate, 3 Years",0.06269999999999999
EPS Growth (MRQ),-0.13
EPS Growth (TTM),0.27090000000000003
Revenue Growth (MRQ),-0.030600000000000002
Revenue Growth (TTM),0.21660000000000001
Return On Equity (TTM),0.2575
Return On Assets (TTM),0.1126
Return On Investment (TTM),0.1418
Revenue Per Employee (TTM),53219.0
Total Debt/Total Capital (MRQ),0.0703
Change in Debt/Total Capital Quarter over Quarter,-0.0059
Quick Ratio (MRQ),0.47
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2021-04-30 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
