,PD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),5.97,9.39,Valuation,0.6357827476038338
Price/Book (MRQ),7.66,12.63,Valuation,0.6064924782264449
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8157,0.7206,Profitability,1.1319733555370524
Operating Profit Margin (TTM),-0.3755,0.2172,Profitability,-1.7288213627992632
Net Profit Margin (TTM),-0.3886,0.1553,Profitability,-2.5022537025112688
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.1624,-0.0752,Gowth rates,2.1595744680851063
EPS Growth (TTM),-0.2652,-0.2824,Gowth rates,0.9390934844192634
Revenue Growth (MRQ),0.0572,0.15560000000000002,Gowth rates,0.3676092544987146
Revenue Growth (TTM),0.3346,0.1906,Gowth rates,1.7555089192025184
Return On Equity (TTM),-0.4731,0.2189,Effectiveness,-2.1612608497030608
Return On Assets (TTM),-0.162,0.10740000000000001,Effectiveness,-1.5083798882681563
Return On Investment (TTM),-0.21910000000000002,0.1387,Effectiveness,-1.5796683489545784
Revenue Per Employee (TTM),343045.0,667721.0,Effectiveness,0.5137549964730779
Total Debt/Total Capital (MRQ),0.528,0.39659999999999995,Financial strength,1.3313161875945538
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0004,Financial strength,0.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-66.41,0.28,Financial strength,-237.1785714285714
