,PD
% Above Low,0.11660000000000001
% Held by Institutions,0.8603000000000001
52-Wk Range,['19.51 - 38.75']
Annual Dividend $,
Annual Dividend %,
Ask,21.8
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,21.78
Bid Size,100.0
Day Change $,-0.045
Day Change %,-0.0021
Day High,22.27
Day Low,21.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.46
Ex-dividend Date,No dividend
Historical Volatility,0.731
Last (size),372.0
Last (time),10:22a ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.83
Price,21.79
Short Interest,0.08070000000000001
Today's Open,21.57
Volume Past Day,(Below Average)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.6470588235294118
Growth 1yr High Est,-0.6875
Growth 1yr Consensus Est,-0.6672794117647058
Growth 2yr Low Est,-0.9485294117647058
Growth 2yr High Est,-1.84375
Growth 2yr Consensus Est,-1.3961397058823528
Growth 5yr Low Est,-0.9485294117647058
Growth 5yr High Est,-1.84375
Growth 5yr Consensus Est,-1.3961397058823528
Growth 5yr Actual/Est,-0.591118777056277
Growth 3yr Historic,0.0047619047619048005
Price/Earnings (TTM),
Price/Sales (TTM),5.97225
Price/Book (MRQ),7.66169
Price/Cash Flow (TTM),
5yr Low,12.33
5yr High,59.82
5yr Avg Return,-0.03832500000000001
Short Int Current Month,6566413.0
Short Int Prev Month,7066873.0
Short Int Pct of Float,0.08074619999999999
Days to Cover,6.57178
Float,81.37527
Shares Outstanding,89.15784
Institutions Holding Shares,274.0
FCF Growth 5yr,-0.09384289229917193
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8157
Operating Profit Margin (TTM),-0.3755
Net Profit Margin (TTM),-0.3886
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1624
EPS Growth (TTM),-0.2652
Revenue Growth (MRQ),0.0572
Revenue Growth (TTM),0.3346
Return On Equity (TTM),-0.4731
Return On Assets (TTM),-0.162
Return On Investment (TTM),-0.21910000000000002
Revenue Per Employee (TTM),343045.0
Total Debt/Total Capital (MRQ),0.528
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),-66.41
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2020-06-05 00:00:00
theStreet since,2020-06-05 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-07-16 00:00:00
cfra since,
marketEdge opinion since,
