,SP
% Below High,0.09380000000000001
% Held by Institutions,0.991
52-Wk Range,['25.29 - 37.52']
Annual Dividend $,
Annual Dividend %,
Ask,34.09
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,34.0
Bid Size,200.0
Day Change $,-0.66
Day Change %,-0.019
Day High,34.82
Day Low,34.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.32
Ex-dividend Date,No dividend
Historical Volatility,0.332
Last (size),24.0
Last (time),2:54p ET 11/28/22
Market Cap,685.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.94
Prev Close,34.66
Price,34.0
Short Interest,0.0165
Today's Open,34.69
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.5263157894736843
Growth 1yr High Est,0.5149999999999999
Growth 1yr Consensus Est,0.5206578947368421
Growth 2yr Low Est,0.29764065335753187
Growth 2yr High Est,0.29545379537953786
Growth 2yr Consensus Est,0.29654722436853487
Growth 5yr Low Est,0.07154759940603866
Growth 5yr High Est,0.07693836722381911
Growth 5yr Consensus Est,0.07424298331492889
Growth 5yr Actual/Est,0.7884998271392842
Growth 3yr Historic,0.6368839493839492
Price/Earnings (TTM),14.94197
Price/Sales (TTM),0.4728
Price/Book (MRQ),2.92506
Price/Cash Flow (TTM),8.82569
5yr Low,14.44
5yr High,47.33
5yr Avg Return,0.010316666666666665
EPS Growth 5yr,0.07654659999999999
Revenue Growth 5yr,-0.061339300000000006
Dividend Growth 5yr,
Short Int Current Month,319412.0
Short Int Prev Month,338993.0
Short Int Pct of Float,0.0164696
Days to Cover,2.60559
Float,19.71977
Shares Outstanding,20.16719
Institutions Holding Shares,198.0
FCF Growth 5yr,0.296585941541184
"Price/Earnings (TTM, GAAP)",14.94
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.14730000000000001
Operating Profit Margin (TTM),0.05940000000000001
Net Profit Margin (TTM),0.0352
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0547
EPS Growth (TTM),1.1284
Revenue Growth (MRQ),0.061399999999999996
Revenue Growth (TTM),0.3705
Return On Equity (TTM),0.2175
Return On Assets (TTM),0.0478
Return On Investment (TTM),0.0672
Revenue Per Employee (TTM),136889.0
Total Debt/Total Capital (MRQ),0.5582
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.61
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-16 00:00:00
theStreet since,2021-11-15 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
marketEdge opinion since,
