,TSE
% Above Low,0.33240000000000003
% Held by Institutions,0.9237000000000001
52-Wk Range,['17.54 - 59.73']
Annual Dividend $,1.28
Annual Dividend %,0.0521
Ask,25.85
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.4
Bid,18.75
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,23.37
Day Change $,-1.22
Day Change %,-0.0496
Day High,24.14
Day Low,23.23
Dividend Pay Date,2022-10-20 00:00:00
"EPS (TTM, GAAP)",3.5
Ex-dividend,2022-10-05 00:00:00
Ex-dividend Date,10/05/22
Historical Volatility,0.5970000000000001
Last (size),2.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,818.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.03
Prev Close,24.59
Short Interest,0.049100000000000005
Today's Open,24.01
Volume,286197.0
Volume 10-day Avg,438275.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-1.1728813559322033
Growth 1yr High Est,-0.2920353982300885
Growth 1yr Consensus Est,-0.7324583770811459
Growth 2yr Low Est,0.5998338318378199
Growth 2yr High Est,0.3018989675516224
Growth 2yr Consensus Est,0.45086639969472114
Growth 5yr Low Est,0.29991691591890995
Growth 5yr High Est,0.1509494837758112
Growth 5yr Consensus Est,0.2254331998473606
Growth 5yr Actual/Est,1.606692267835697
Growth 3yr Historic,0.8405672874620121
Price/Earnings (TTM),7.03174
Price/Sales (TTM),0.15985
Price/Book (MRQ),0.96541
Price/Cash Flow (TTM),2.5117
5yr Low,14.16
5yr High,85.35
5yr Avg Return,-0.12228333333333334
EPS Growth 5yr,0.0105083
Revenue Growth 5yr,0.0536959
Dividend Growth 5yr,-0.023281299999999998
Short Int Current Month,1687857.0
Short Int Prev Month,1704551.0
Short Int Pct of Float,0.0491454
Days to Cover,2.04096
Float,34.38091
Shares Outstanding,34.97375
Institutions Holding Shares,260.0
FCF Growth 5yr,1.2602945011835383
"Price/Earnings (TTM, GAAP)",7.03
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1125
Operating Profit Margin (TTM),0.057800000000000004
Net Profit Margin (TTM),0.025099999999999997
Annual Dividend Yield,0.0521
Dividend Change %,-0.375
"Dividend Growth Rate, 3 Years",-0.1996
EPS Growth (MRQ),1.2341
EPS Growth (TTM),-0.549
Revenue Growth (MRQ),0.027999999999999997
Revenue Growth (TTM),0.45130000000000003
Return On Equity (TTM),0.1539
Return On Assets (TTM),0.029900000000000003
Return On Investment (TTM),0.0366
Revenue Per Employee (TTM),1735484.0
Total Debt/Total Capital (MRQ),0.715
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),1.34
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
