,WTW
% Below High,0.021099999999999997
% Held by Institutions,0.9551000000000001
52-Wk Range,['187.89 - 244.73']
Annual Dividend $,3.28
Annual Dividend %,0.0134
Ask,240.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,239.26
Bid Size,100.0
Closing Price,239.57
Day Change $,-4.45
Day Change %,-0.0182
Day High,244.14
Day Low,239.37
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",8.48
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.24800000000000003
Last (size),242.0
Last (time),4:00p ET 11/28/22
Market Cap,25.9B
"P/E Ratio (TTM, GAAP)",28.78
Prev Close,244.02
Short Interest,0.018600000000000002
Today's Open,241.73
Volume,691873.0
Volume 10-day Avg,651815.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.035335689045936425
Growth 1yr High Est,0.2017241379310344
Growth 1yr Consensus Est,0.1185299134884854
Growth 2yr Low Est,0.10256545544446993
Growth 2yr High Est,0.17044600009894617
Growth 2yr Consensus Est,0.13650572777170805
Growth 5yr Low Est,0.06453854167572337
Growth 5yr High Est,0.09766643896350019
Growth 5yr Consensus Est,0.08110249031961178
Growth 5yr Actual/Est,0.08597892639935917
Growth 3yr Historic,0.014742809907043464
Price/Earnings (TTM),28.77554
Price/Sales (TTM),2.98442
Price/Book (MRQ),2.69481
Price/Cash Flow (TTM),16.35427
5yr Low,134.5
5yr High,271.87
5yr Avg Return,0.07286666666666666
EPS Growth 5yr,0.4040153
Revenue Growth 5yr,0.0267077
Dividend Growth 5yr,0.0531885
Short Int Current Month,1997817.0
Short Int Prev Month,1809343.0
Short Int Pct of Float,0.0186245
Days to Cover,3.43188
Float,107.3182
Shares Outstanding,108.2376
Institutions Holding Shares,847.0
FCF Growth 5yr,-2.6246823069403713
"Price/Earnings (TTM, GAAP)",28.78
"PEG Ratio (TTM, GAAP)",1.72
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1297
Net Profit Margin (TTM),0.11660000000000001
Annual Dividend Yield,0.0134
Dividend Change %,0.0892
"Dividend Growth Rate, 3 Years",0.07940000000000001
EPS Growth (MRQ),0.18480000000000002
EPS Growth (TTM),-0.3946
Revenue Growth (MRQ),-0.0384
Revenue Growth (TTM),0.0638
Return On Equity (TTM),0.0958
Return On Assets (TTM),0.0302
Return On Investment (TTM),0.058300000000000005
Revenue Per Employee (TTM),200226.0
Total Debt/Total Capital (MRQ),0.3232
Change in Debt/Total Capital Quarter over Quarter,0.0022
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.94
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-12-27 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
