,WTW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.78,19.61,Valuation,1.4676185619581847
Price/Sales (TTM),2.98,2.33,Valuation,1.278969957081545
Price/Book (MRQ),2.69,3.82,Valuation,0.7041884816753927
"PEG Ratio (TTM, GAAP)",1.72,37.63,Valuation,0.04570821153335104
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.1297,0.1298,Profitability,0.9992295839753468
Net Profit Margin (TTM),0.11660000000000001,0.10460000000000001,Profitability,1.1147227533460802
Annual Dividend Yield,0.0134,0.0168,Dividend,0.7976190476190477
Dividend Change %,0.0892,-0.0075,Dividend,-11.893333333333334
"Dividend Growth Rate, 3 Years",0.07940000000000001,0.0225,Dividend,3.5288888888888894
EPS Growth (MRQ),0.18480000000000002,-0.0779,Gowth rates,-2.3722721437740697
EPS Growth (TTM),-0.3946,-0.005200000000000001,Gowth rates,75.88461538461537
Revenue Growth (MRQ),-0.0384,0.0897,Gowth rates,-0.42809364548494977
Revenue Growth (TTM),0.0638,0.042800000000000005,Gowth rates,1.4906542056074763
Return On Equity (TTM),0.0958,0.3775,Effectiveness,0.2537748344370861
Return On Assets (TTM),0.0302,0.031200000000000002,Effectiveness,0.967948717948718
Return On Investment (TTM),0.058300000000000005,0.035,Effectiveness,1.6657142857142857
Revenue Per Employee (TTM),200226.0,1261907.0,Effectiveness,0.15866937896374297
Total Debt/Total Capital (MRQ),0.3232,0.4026,Financial strength,0.8027819175360158
Change in Debt/Total Capital Quarter over Quarter,0.0022,0.002,Financial strength,1.1
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),3.94,10.79,Financial strength,0.3651529193697869
