,MDLZ
% Below High,0.04
% Held by Institutions,0.7744
52-Wk Range,['54.72 - 69.47']
Annual Dividend $,1.54
Annual Dividend %,0.0231
Ask,66.72
Ask Size,100.0
Ask close,70.98
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,65.96
Bid Size,100.0
Bid close,62.51
Change Since Close,-0.08| |(-0.12%)
Closing Price,66.69
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",2.25
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.21300000000000002
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,66.61
Market Cap,91.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.67
Prev Close,66.69
Short Interest,0.0091
Today's Open,
Volume,20.0
Volume 10-day Avg,5170160.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.02491103202846978
Growth 1yr High Est,0.020689655172413834
Growth 1yr Consensus Est,0.022800343600441808
Growth 2yr Low Est,0.02981662712534605
Growth 2yr High Est,0.04919617893755823
Growth 2yr Consensus Est,0.03950640303145214
Growth 5yr Low Est,0.052864363596017705
Growth 5yr High Est,0.06008886680738257
Growth 5yr Consensus Est,0.05647661520170014
Growth 5yr Actual/Est,0.05605108213398163
Growth 3yr Historic,0.03156088677513058
Price/Earnings (TTM),29.66584
Price/Sales (TTM),2.99002
Price/Book (MRQ),3.42297
Price/Cash Flow (TTM),23.58796
5yr Low,37.42
5yr High,69.47
5yr Avg Return,0.08788333333333333
EPS Growth 5yr,0.2396727
Revenue Growth 5yr,0.020703999999999997
Dividend Growth 5yr,0.1369745
Short Int Current Month,12447873.0
Short Int Prev Month,9905438.0
Short Int Pct of Float,0.0091306
Days to Cover,1.69486
Float,1363.517
Shares Outstanding,1365.619
Institutions Holding Shares,2220.0
FCF Growth 5yr,0.04748536942720712
"Price/Earnings (TTM, GAAP)",29.67
"PEG Ratio (TTM, GAAP)",6.31
Gross Profit Margin (TTM),0.36340000000000006
Operating Profit Margin (TTM),0.12390000000000001
Net Profit Margin (TTM),0.0908
Annual Dividend Yield,0.023100000000000002
Dividend Change %,0.10830000000000001
"Dividend Growth Rate, 3 Years",0.04070000000000001
EPS Growth (MRQ),-0.2827
EPS Growth (TTM),-0.2828
Revenue Growth (MRQ),0.0672
Revenue Growth (TTM),0.07400000000000001
Return On Equity (TTM),0.1155
Return On Assets (TTM),0.0409
Return On Investment (TTM),0.0519
Revenue Per Employee (TTM),385557.0
Total Debt/Total Capital (MRQ),0.4482
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.46
Interest Coverage (MRQ),9.46
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2020-07-30 00:00:00
theStreet since,2022-11-02 00:00:00
cfra since,2022-11-02 00:00:00
ford since,2022-09-16 00:00:00
marketEdge opinion since,
