,NUVB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),,18.12,Valuation,
Price/Book (MRQ),0.6,11.52,Valuation,0.052083333333333336
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6774,Profitability,
Operating Profit Margin (TTM),,-0.8243,Profitability,
Net Profit Margin (TTM),,-0.8643000000000001,Profitability,
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),0.2257,0.0882,Gowth rates,2.558956916099773
EPS Growth (TTM),-0.0385,0.5872999999999999,Gowth rates,-0.06555423122765197
Revenue Growth (MRQ),,0.0441,Gowth rates,
Revenue Growth (TTM),,0.17600000000000002,Gowth rates,
Return On Equity (TTM),-0.151,0.3019,Effectiveness,-0.5001656177542232
Return On Assets (TTM),-0.1462,0.09210000000000002,Effectiveness,-1.587404994571118
Return On Investment (TTM),-0.1489,0.1384,Effectiveness,-1.0758670520231215
Revenue Per Employee (TTM),0.0,1426391.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.1,Financial strength,
