,NUVB
% Above Low,0.0339
% Held by Institutions,0.6475
52-Wk Range,['1.77 - 10.45']
Annual Dividend $,
Annual Dividend %,
Ask,1.88
Ask Size,6100.0
B/A Ratio,1.1475409836065573
B/A Size,7000x6100
Beta,
Bid,1.8
Bid Size,7000.0
Closing Price,1.83
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.5
Ex-dividend Date,No dividend
Historical Volatility,0.664
Last (size),56.0
Last (time),5:00p ET 11/25/22
Market Cap,399.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.83
Short Interest,0.0304
Today's Open,
Volume,152844.0
Volume 10-day Avg,486777.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.15555555555555567
Growth 1yr High Est,0.19999999999999996
Growth 1yr Consensus Est,0.1777777777777778
Growth 2yr Low Est,0.2700854700854701
Growth 2yr High Est,-0.17083333333333334
Growth 2yr Consensus Est,0.049626068376068394
Growth 5yr Low Est,0.2700854700854701
Growth 5yr High Est,-0.17083333333333334
Growth 5yr Consensus Est,0.049626068376068394
Growth 5yr Actual/Est,0.31646903820816863
Growth 3yr Historic,0.3043478260869565
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),0.59835
Price/Cash Flow (TTM),
5yr Low,1.77
5yr High,15.23
5yr Avg Return,-0.3010666666666667
Short Int Current Month,4851876.0
Short Int Prev Month,4936860.0
Short Int Pct of Float,0.0303964
Days to Cover,4.27775
Float,159.6201
Shares Outstanding,218.3926
Institutions Holding Shares,170.0
FCF Growth 5yr,0.32870286576168933
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2257
EPS Growth (TTM),-0.0385
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.151
Return On Assets (TTM),-0.1462
Return On Investment (TTM),-0.1489
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
