,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,12.52,15.23,8.88,,,,,
low,9.55,7.3,1.77,,,,,
change,0.1584,-0.2729,-0.7887000000000001,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,132.0,106.0,102.0,139.0,Balance Sheet
Short Term Investments,,,,633.0,631.0,601.0,535.0,Balance Sheet
Cash and Short Term Invs,,,,765.0,738.0,704.0,674.0,Balance Sheet
"Total Receivables, Net",,,,3.0,2.0,3.0,2.0,Balance Sheet
Prepaid Expenses,,,,4.0,8.0,8.0,5.0,Balance Sheet
"Other Curr. Assets, Total",,,,0.0,,,,Balance Sheet
Total Current Assets,,,,772.0,748.0,714.0,681.0,Balance Sheet
Buildings,,,,0.0,,,,Balance Sheet
Machinery/Equipment,,,,1.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,3.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,4.0,,,,Balance Sheet
Accumulated Depreciation,,,,0.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,4.0,3.0,5.0,5.0,Balance Sheet
Long Term Investments,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Assets,,,,776.0,752.0,720.0,686.0,Balance Sheet
Accounts Payable,,,,4.0,10.0,13.0,3.0,Balance Sheet
Accrued Expenses,,,,13.0,8.0,9.0,11.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,4.0,,,Balance Sheet
Total Current Liabilities,,,,17.0,21.0,21.0,14.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,13.0,7.0,5.0,5.0,Balance Sheet
Total Liabilities,,,,30.0,28.0,27.0,19.0,Balance Sheet
Common Stock,,,,910.0,914.0,919.0,922.0,Balance Sheet
