,KW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.52,-128.31,Valuation,-0.23786142935079105
Price/Sales (TTM),4.39,1.78,Valuation,2.4662921348314604
Price/Book (MRQ),1.75,2.29,Valuation,0.7641921397379913
"PEG Ratio (TTM, GAAP)",,-1.83,Valuation,
Gross Profit Margin (TTM),,0.2696,Profitability,
Operating Profit Margin (TTM),-0.0835,-0.2328,Profitability,0.3586769759450172
Net Profit Margin (TTM),0.20120000000000002,-0.1213,Profitability,-1.6586974443528442
Annual Dividend Yield,0.056600000000000004,0.0044,Dividend,12.863636363636363
Dividend Change %,0.0,0.0943,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0501,-0.0072,Dividend,-6.958333333333333
EPS Growth (MRQ),2.8191,1.0171,Gowth rates,2.7717038639268514
EPS Growth (TTM),-0.8248000000000001,0.7006,Gowth rates,-1.1772766200399658
Revenue Growth (MRQ),0.0257,0.16149999999999998,Gowth rates,0.15913312693498455
Revenue Growth (TTM),0.2316,0.44439999999999996,Gowth rates,0.5211521152115212
Return On Equity (TTM),0.0562,0.0932,Effectiveness,0.6030042918454935
Return On Assets (TTM),0.013500000000000002,0.0415,Effectiveness,0.32530120481927716
Return On Investment (TTM),0.0146,0.0722,Effectiveness,0.20221606648199447
Revenue Per Employee (TTM),2417273.0,1051798.0,Effectiveness,2.298229317796763
Total Debt/Total Capital (MRQ),0.7399,0.5311,Financial strength,1.3931463001318019
Change in Debt/Total Capital Quarter over Quarter,-0.0001,-0.0005,Financial strength,0.2
Quick Ratio (MRQ),,0.08,Financial strength,
Interest Coverage (MRQ),0.22,3.44,Financial strength,0.06395348837209303
