,KW
% Above Low,0.2133
% Held by Institutions,0.8266
52-Wk Range,['13.97 - 25.30']
Annual Dividend $,0.96
Annual Dividend %,0.056600000000000004
Ask,19.95
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.1
Bid,15.06
Bid Size,300.0
Closing Price,16.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",0.56
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.302
Last (size),56.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.52
Prev Close,16.95
Short Interest,0.0137
Today's Open,
Volume,272512.0
Volume 10-day Avg,573760.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.2580645161290323
Growth 2yr High Est,6.971428571428572
Growth 2yr Consensus Est,2.85668202764977
Growth 5yr Low Est,-1.2580645161290323
Growth 5yr High Est,6.971428571428572
Growth 5yr Consensus Est,2.85668202764977
Growth 5yr Actual/Est,0.7261557744501713
Growth 3yr Historic,0.45291522823168395
Price/Earnings (TTM),30.52239
Price/Sales (TTM),4.39179
Price/Book (MRQ),1.75092
Price/Cash Flow (TTM),9.14469
5yr Low,10.98
5yr High,25.3
5yr Avg Return,0.002233333333333333
EPS Growth 5yr,1.945538
Revenue Growth 5yr,-0.08057890000000001
Dividend Growth 5yr,0.1025995
Short Int Current Month,1608747.0
Short Int Prev Month,2113807.0
Short Int Pct of Float,0.0137149
Days to Cover,2.55158
Float,117.1613
Shares Outstanding,137.7908
Institutions Holding Shares,284.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",30.52
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.0835
Net Profit Margin (TTM),0.20120000000000002
Annual Dividend Yield,0.056600000000000004
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0501
EPS Growth (MRQ),2.8191
EPS Growth (TTM),-0.8248000000000001
Revenue Growth (MRQ),0.0257
Revenue Growth (TTM),0.2316
Return On Equity (TTM),0.0562
Return On Assets (TTM),0.013500000000000002
Return On Investment (TTM),0.0146
Revenue Per Employee (TTM),2417273.0
Total Debt/Total Capital (MRQ),0.7399
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.22
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-30 00:00:00
theStreet since,2022-05-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
