,BKR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,669.05,Valuation,
Price/Sales (TTM),1.39,2.16,Valuation,0.6435185185185184
Price/Book (MRQ),2.03,3.21,Valuation,0.632398753894081
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.2059,0.1895,Profitability,1.0865435356200528
Operating Profit Margin (TTM),0.032400000000000005,0.0622,Profitability,0.5209003215434085
Net Profit Margin (TTM),-0.0207,0.011899999999999999,Profitability,-1.7394957983193278
Annual Dividend Yield,0.0267,0.0131,Dividend,2.0381679389312977
Dividend Change %,0.0,-0.2443,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0,-0.21420000000000003,Dividend,-0.0
EPS Growth (MRQ),0.9799,0.659,Gowth rates,1.4869499241274657
EPS Growth (TTM),-8.142000000000001,-0.1462,Gowth rates,55.69083447332422
Revenue Growth (MRQ),0.0638,0.3728,Gowth rates,0.17113733905579398
Revenue Growth (TTM),0.010900000000000002,0.2954,Gowth rates,0.036899119837508466
Return On Equity (TTM),-0.0316,0.0775,Effectiveness,-0.407741935483871
Return On Assets (TTM),-0.0125,0.0348,Effectiveness,-0.3591954022988506
Return On Investment (TTM),-0.0173,0.1063,Effectiveness,-0.16274694261523986
Revenue Per Employee (TTM),384000.0,673709.0,Effectiveness,0.5699790265530074
Total Debt/Total Capital (MRQ),0.3166,0.3983,Financial strength,0.7948782324880743
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0006,Financial strength,1.0
Quick Ratio (MRQ),1.08,1.2,Financial strength,0.9000000000000001
Interest Coverage (MRQ),4.31,15.83,Financial strength,0.27226784586228675
