,BKR
% Above Low,0.396
% Held by Institutions,1.0133
52-Wk Range,['20.42 - 39.78']
Annual Dividend $,0.76
Annual Dividend %,0.026699999999999998
Ask,29.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,28.5
Bid Size,100.0
Closing Price,28.5
Day Change $,-0.33
Day Change %,-0.011399999999999999
Day High,29.03
Day Low,28.46
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",-0.45
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.451
Last (size),814.0
Last (time),12:59p ET 11/25/22
Market Cap,28.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,28.83
Short Interest,0.02
Today's Open,28.7
Volume,2689317.0
Volume 10-day Avg,6290559.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.1578947368421053
Growth 1yr High Est,0.46464646464646453
Growth 1yr Consensus Est,0.3112706007442849
Growth 2yr Low Est,0.8630382775119616
Growth 2yr High Est,0.5461163357715081
Growth 2yr Consensus Est,0.7045773066417349
Growth 5yr Low Est,0.4315191387559808
Growth 5yr High Est,0.27305816788575404
Growth 5yr Consensus Est,0.35228865332086745
Growth 5yr Actual/Est,5.074989851012869
Growth 3yr Historic,4.758823529411765
Price/Earnings (TTM),
Price/Sales (TTM),1.38606
Price/Book (MRQ),2.03312
Price/Cash Flow (TTM),44.28555
5yr Low,9.12
5yr High,39.78
5yr Avg Return,0.010583333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1581142
Dividend Growth 5yr,0.011497299999999998
Short Int Current Month,20049119.0
Short Int Prev Month,19078811.0
Short Int Pct of Float,0.0200473
Days to Cover,2.5936
Float,999.9749
Shares Outstanding,1008.468
Institutions Holding Shares,911.0
FCF Growth 5yr,-1.7623594879452453
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2059
Operating Profit Margin (TTM),0.032400000000000005
Net Profit Margin (TTM),-0.0207
Annual Dividend Yield,0.0267
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.9799
EPS Growth (TTM),-8.142000000000001
Revenue Growth (MRQ),0.0638
Revenue Growth (TTM),0.010900000000000002
Return On Equity (TTM),-0.0316
Return On Assets (TTM),-0.0125
Return On Investment (TTM),-0.0173
Revenue Per Employee (TTM),384000.0
Total Debt/Total Capital (MRQ),0.3166
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.08
Interest Coverage (MRQ),4.31
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-10-21 00:00:00
cfra since,2021-10-20 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2021-04-27 00:00:00
marketEdge opinion since,
