,KOS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.83,9.13,Valuation,0.7480832420591457
Price/Sales (TTM),1.27,7.57,Valuation,0.1677675033025099
Price/Book (MRQ),3.27,4.65,Valuation,0.7032258064516128
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.8218000000000001,0.35119999999999996,Profitability,2.3399772209567202
Operating Profit Margin (TTM),0.46909999999999996,0.192,Profitability,2.4432291666666663
Net Profit Margin (TTM),0.19039999999999999,0.0358,Profitability,5.318435754189944
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),0.8936000000000001,2.3421000000000003,Gowth rates,0.38153793604030567
EPS Growth (TTM),3.2701,7.2215,Gowth rates,0.45282835975905283
Revenue Growth (MRQ),-0.26489999999999997,0.7168000000000001,Gowth rates,-0.3695591517857142
Revenue Growth (TTM),1.233,47.807,Gowth rates,0.02579120212521179
Return On Equity (TTM),0.7448,0.3993,Effectiveness,1.8652642123716505
Return On Assets (TTM),0.0969,0.15810000000000002,Effectiveness,0.6129032258064515
Return On Investment (TTM),0.10960000000000002,0.2237,Effectiveness,0.4899418864550738
Revenue Per Employee (TTM),10078590.0,7554984.0,Effectiveness,1.3340319450047808
Total Debt/Total Capital (MRQ),0.7206999999999999,0.3658,Financial strength,1.9702022963367958
Change in Debt/Total Capital Quarter over Quarter,-0.0019,-0.002,Financial strength,0.95
Quick Ratio (MRQ),0.67,0.96,Financial strength,0.6979166666666667
Interest Coverage (MRQ),,13.28,Financial strength,
