,KOS
% Below High,0.2445
% Held by Institutions,0.914
52-Wk Range,['3.02 - 8.49']
Annual Dividend $,
Annual Dividend %,
Ask,6.91
Ask Size,100.0
B/A Ratio,20.0
B/A Size,2000x100
Beta,2.8
Bid,6.39
Bid Size,2000.0
Closing Price,6.41
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.94
Ex-dividend Date,No dividend
Historical Volatility,0.7240000000000001
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",6.83
Prev Close,6.41
Short Interest,0.0528
Today's Open,
Volume,1710046.0
Volume 10-day Avg,4653949.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-12.875
Growth 1yr High Est,12.416666666666668
Growth 1yr Consensus Est,-0.22916666666666607
Growth 2yr Low Est,-6.595394736842105
Growth 2yr High Est,6.453674948240166
Growth 2yr Consensus Est,-0.07085989430096973
Growth 5yr Low Est,-3.2976973684210527
Growth 5yr High Est,3.226837474120083
Growth 5yr Consensus Est,-0.03542994715048477
Growth 5yr Actual/Est,-2.303271901709402
Growth 3yr Historic,2.7234374999999997
Price/Earnings (TTM),6.83158
Price/Sales (TTM),1.26615
Price/Book (MRQ),3.27025
Price/Cash Flow (TTM),2.88837
5yr Low,0.501
5yr High,9.75
5yr Avg Return,0.10076666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.3382085
Dividend Growth 5yr,
Short Int Current Month,23433557.0
Short Int Prev Month,24492796.0
Short Int Pct of Float,0.0528372
Days to Cover,4.28831
Float,443.3678
Shares Outstanding,455.8935
Institutions Holding Shares,305.0
FCF Growth 5yr,-0.355974436749748
"Price/Earnings (TTM, GAAP)",6.83
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8218000000000001
Operating Profit Margin (TTM),0.46909999999999996
Net Profit Margin (TTM),0.19039999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8936000000000001
EPS Growth (TTM),3.2701
Revenue Growth (MRQ),-0.26489999999999997
Revenue Growth (TTM),1.233
Return On Equity (TTM),0.7448
Return On Assets (TTM),0.0969
Return On Investment (TTM),0.10960000000000002
Revenue Per Employee (TTM),10078590.0
Total Debt/Total Capital (MRQ),0.7206999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),0.67
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-21 00:00:00
theStreet since,2022-11-21 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
