,MYRG
% Below High,0.18359999999999999
% Held by Institutions,0.8925
52-Wk Range,['74.77 - 119.39']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,97.47
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.67
Ex-dividend Date,No dividend
Historical Volatility,0.359
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.89
Prev Close,97.47
Short Interest,0.0144
Today's Open,
Volume,23675.0
Volume 10-day Avg,69877.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.09375
Growth 1yr High Est,-0.06237424547283699
Growth 1yr Consensus Est,-0.0780621227364185
Growth 2yr Low Est,0.022090517241379337
Growth 2yr High Est,0.03962832790735832
Growth 2yr Consensus Est,0.030859422574368828
Growth 5yr Low Est,0.022090517241379337
Growth 5yr High Est,0.03962832790735832
Growth 5yr Consensus Est,0.030859422574368828
Growth 5yr Actual/Est,0.2507344496390017
Growth 3yr Historic,0.24055920048825152
Price/Earnings (TTM),20.88507
Price/Sales (TTM),0.57982
Price/Book (MRQ),3.02069
Price/Cash Flow (TTM),12.05297
5yr Low,16.33
5yr High,121.22
5yr Avg Return,0.2468666666666667
EPS Growth 5yr,0.3218769
Revenue Growth 5yr,0.1693871
Dividend Growth 5yr,
Short Int Current Month,232938.0
Short Int Prev Month,290697.0
Short Int Pct of Float,0.0143838
Days to Cover,2.02454
Float,16.18437
Shares Outstanding,16.60075
Institutions Holding Shares,291.0
FCF Growth 5yr,0.6444214874247027
"Price/Earnings (TTM, GAAP)",20.89
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1185
Operating Profit Margin (TTM),0.038900000000000004
Net Profit Margin (TTM),0.0285
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0403
EPS Growth (TTM),-0.0308
Revenue Growth (MRQ),0.1295
Revenue Growth (TTM),0.1343
Return On Equity (TTM),0.15410000000000001
Return On Assets (TTM),0.0664
Return On Investment (TTM),0.11750000000000001
Revenue Per Employee (TTM),367189.0
Total Debt/Total Capital (MRQ),0.1433
Change in Debt/Total Capital Quarter over Quarter,0.1331
Quick Ratio (MRQ),
Interest Coverage (MRQ),24.43
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-18 00:00:00
theStreet since,2020-06-30 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
