,WFRD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,669.05,Valuation,
Price/Sales (TTM),0.75,2.16,Valuation,0.3472222222222222
Price/Book (MRQ),6.77,3.21,Valuation,2.1090342679127723
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.2831,0.1895,Profitability,1.4939313984168867
Operating Profit Margin (TTM),0.039900000000000005,0.0622,Profitability,0.6414790996784567
Net Profit Margin (TTM),-0.044500000000000005,0.011899999999999999,Profitability,-3.739495798319328
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),3.7316000000000003,0.659,Gowth rates,5.6625189681335355
EPS Growth (TTM),0.5746,-0.1462,Gowth rates,-3.9302325581395348
Revenue Growth (MRQ),0.0526,0.3728,Gowth rates,0.14109442060085836
Revenue Growth (TTM),0.1604,0.2954,Gowth rates,0.5429925524712255
Return On Equity (TTM),-0.38549999999999995,0.0775,Effectiveness,-4.974193548387096
Return On Assets (TTM),-0.0369,0.0348,Effectiveness,-1.060344827586207
Return On Investment (TTM),-0.0527,0.1063,Effectiveness,-0.495766698024459
Revenue Per Employee (TTM),240412.0,673709.0,Effectiveness,0.3568484315928687
Total Debt/Total Capital (MRQ),0.8345,0.3983,Financial strength,2.0951544062264627
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0006,Financial strength,-0.16666666666666669
Quick Ratio (MRQ),1.69,1.2,Financial strength,1.4083333333333334
Interest Coverage (MRQ),2.75,15.83,Financial strength,0.1737207833228048
