,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,29.0,37.0,34.95,44.57,,,,,
low,20.0,1.31,5.45,16.96,,,,,
change,0.3975,-0.7767000000000001,3.6706000000000003,0.5304,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,951.0,841.0,879.0,933.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,856.0,903.0,960.0,956.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-31.0,-35.0,-30.0,-29.0,Balance Sheet
"Total Receivables, Net",,,,,825.0,868.0,930.0,927.0,Balance Sheet
Invent. - Finished Goods,,,,,595.0,595.0,634.0,642.0,Balance Sheet
Invent. - Work In Progress,,,,,75.0,89.0,82.0,81.0,Balance Sheet
Total Inventory,,,,,670.0,684.0,716.0,723.0,Balance Sheet
Restricted Cash - Current,,,,,162.0,215.0,211.0,210.0,Balance Sheet
Other Current Assets,,,,,303.0,281.0,274.0,270.0,Balance Sheet
"Other Curr. Assets, Total",,,,,465.0,496.0,485.0,480.0,Balance Sheet
Total Current Assets,,,,,2911.0,2889.0,3010.0,3063.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,1619.0,1625.0,1657.0,1661.0,Balance Sheet
Accumulated Depreciation,,,,,-623.0,-661.0,-718.0,-753.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,1109.0,1083.0,1054.0,1019.0,Balance Sheet
Intangibles - Gross,,,,,1313.0,1353.0,1385.0,1418.0,Balance Sheet
Accum. Intangible Amort.,,,,,-656.0,-734.0,-806.0,-878.0,Balance Sheet
Intangibles - Net,,,,,657.0,619.0,579.0,540.0,Balance Sheet
Other Long Term Assets,,,,,97.0,93.0,92.0,85.0,Balance Sheet
Total Assets,,,,,4774.0,4684.0,4735.0,4707.0,Balance Sheet
Accounts Payable,,,,,380.0,385.0,448.0,425.0,Balance Sheet
Accrued Expenses,,,,,402.0,317.0,344.0,383.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,50.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,12.0,13.0,14.0,14.0,Balance Sheet
Customer Advances,,,,,26.0,35.0,22.0,43.0,Balance Sheet
Income Taxes Payable,,,,,140.0,140.0,142.0,138.0,Balance Sheet
Other Current Liabilities,,,,,372.0,410.0,363.0,381.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,538.0,585.0,527.0,562.0,Balance Sheet
Total Current Liabilities,,,,,1332.0,1300.0,1383.0,1384.0,Balance Sheet
Long Term Debt,,,,,2372.0,2373.0,2324.0,2325.0,Balance Sheet
Capital Lease Obligations,,,,,44.0,43.0,42.0,41.0,Balance Sheet
Total Long Term Debt,,,,,2416.0,2416.0,2366.0,2366.0,Balance Sheet
Total Debt,,,,,2428.0,2429.0,2430.0,2380.0,Balance Sheet
Minority Interest,,,,,24.0,30.0,25.0,19.0,Balance Sheet
"Other Liabilities, Total",,,,,530.0,542.0,495.0,485.0,Balance Sheet
Total Liabilities,,,,,4302.0,4288.0,4269.0,4254.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,2904.0,2908.0,2913.0,2923.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-2397.0,-2477.0,-2471.0,-2443.0,Balance Sheet
Cum. Trans. Adjustment,,,,,-36.0,-36.0,23.0,-28.0,Balance Sheet
Other Equity,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Equity, Total",,,,,-35.0,-35.0,24.0,-27.0,Balance Sheet
Total Equity,,,,,472.0,396.0,466.0,453.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,4774.0,4684.0,4735.0,4707.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,70.0,70.0,70.0,71.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,965.0,938.0,1064.0,1120.0,Income Statement
"Cost of Revenue, Total",,,,,717.0,682.0,756.0,775.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,148.0,139.0,157.0,162.0,Income Statement
Research & Development,,,,,22.0,21.0,22.0,23.0,Income Statement
Depreciation/Amortization,,,,,39.0,39.0,39.0,39.0,Income Statement
Restructuring Charge,,,,,0.0,20.0,0.0,2.0,Income Statement
Impair-Assets Held for Use,,,,,,19.0,-14.0,-2.0,Income Statement
Impair-Assets Held for Sale,,,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,,117.0,,,2.0,Income Statement
Unusual Expense (Income),,,,,117.0,39.0,-14.0,2.0,Income Statement
Total Operating Expense,,,,,1043.0,920.0,960.0,1001.0,Income Statement
Total Operating Income,,,,,-78.0,18.0,104.0,119.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,-49.0,-48.0,-48.0,-44.0,Income Statement
"Other, Net",,,,,-10.0,-16.0,-32.0,-12.0,Income Statement
Income Before Tax,,,,,-137.0,-46.0,24.0,63.0,Income Statement
Income Tax - Total,,,,,20.0,28.0,12.0,26.0,Income Statement
Income After Tax,,,,,-157.0,-74.0,12.0,37.0,Income Statement
Minority Interest,,,,,-4.0,-6.0,-6.0,-9.0,Income Statement
Net Inc Before Extra Items,,,,,-161.0,-80.0,6.0,28.0,Income Statement
Total Net Income,,,,,-161.0,-80.0,6.0,28.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-161.0,-80.0,6.0,28.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-161.0,-80.0,6.0,28.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,70.0,70.0,71.0,71.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-2.3,-1.14,0.08,0.39,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-2.3,-1.14,0.08,0.39,Income Statement
Diluted Weighted Average Shares,,,,,70.0,70.0,73.0,72.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-2.3,-1.14,0.08,0.39,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-2.3,-1.14,0.08,0.39,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,64.0,48.0,51.0,49.0,Income Statement
Total Special Items,,,,,117.0,39.0,-14.0,2.0,Income Statement
Normalzd Income Before Tax,,,,,-20.0,-7.0,10.0,65.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,41.0,14.0,-7.0,1.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,61.0,42.0,5.0,27.0,Income Statement
Normalized Income After Tax,,,,,-81.0,-49.0,5.0,38.0,Income Statement
Normalzd Inc Avail to Common,,,,,-85.0,-55.0,-1.0,29.0,Income Statement
Basic Normalized EPS,,,,,-1.21,-0.78,-0.01,0.41,Income Statement
Diluted Normalized EPS,,,,,-1.21,-0.78,-0.01,0.41,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,-429000.0,-74000.0,-62000.0,-25000.0,Cash Flow
Depreciation/Depletion,,,,,440000.0,87000.0,177000.0,265000.0,Cash Flow
Deferred Taxes,,,,,-10000.0,3000.0,6000.0,24000.0,Cash Flow
Unusual Items,,,,,148000.0,7000.0,-8000.0,-14000.0,Cash Flow
Other Non-Cash Items,,,,,87000.0,22000.0,37000.0,48000.0,Cash Flow
Non-Cash Items,,,,,235000.0,29000.0,29000.0,34000.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,62000.0,19000.0,42000.0,58000.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,269000.0,17000.0,117000.0,136000.0,Cash Flow
Accounts Receivable,,,,,-6000.0,-51000.0,-86000.0,-103000.0,Cash Flow
Inventories,,,,,-18000.0,-31000.0,-71000.0,-99000.0,Cash Flow
Accounts Payable,,,,,56000.0,7000.0,62000.0,49000.0,Cash Flow
