,USB
% Above Low,0.1394
% Held by Institutions,0.7097
52-Wk Range,['38.39 - 63.57']
Annual Dividend $,1.92
Annual Dividend %,0.0434
Ask,47.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,41.0
Bid Size,500.0
Closing Price,43.74
Day Change $,-0.52
Day Change %,-0.011699999999999999
Day High,44.29
Day Low,43.64
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",4.19
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.294
Last (size),20.0
Last (time),7:00p ET 11/28/22
Market Cap,65.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.56
Prev Close,44.26
Short Interest,0.0078000000000000005
Today's Open,43.99
Volume,6790652.0
Volume 10-day Avg,7674427.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.14658634538152615
Growth 1yr High Est,-0.13988657844990549
Growth 1yr Consensus Est,-0.14323646191571582
Growth 2yr Low Est,-0.12035199622017484
Growth 2yr High Est,0.025661106379442855
Growth 2yr Consensus Est,-0.04734544492036599
Growth 5yr Low Est,0.042750023236986595
Growth 5yr High Est,0.11003668789585613
Growth 5yr Consensus Est,0.07639335556642136
Growth 5yr Actual/Est,0.10172982654600302
Growth 3yr Historic,0.10056089743589738
Price/Earnings (TTM),10.55511
Price/Sales (TTM),2.79781
Price/Book (MRQ),1.61557
Price/Cash Flow (TTM),9.67523
5yr Low,28.36
5yr High,63.57
5yr Avg Return,-0.012216666666666664
EPS Growth 5yr,0.095023
Revenue Growth 5yr,0.0053185
Dividend Growth 5yr,0.1047969
Short Int Current Month,11595382.0
Short Int Prev Month,11764137.0
Short Int Pct of Float,0.0078157
Days to Cover,1.0413
Float,1483.952
Shares Outstanding,1485.823
Institutions Holding Shares,2027.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.56
"PEG Ratio (TTM, GAAP)",2.17
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3547
Net Profit Margin (TTM),0.2802
Annual Dividend Yield,0.0434
Dividend Change %,0.023799999999999998
"Dividend Growth Rate, 3 Years",0.10640000000000001
EPS Growth (MRQ),0.1743
EPS Growth (TTM),-0.15789999999999998
Revenue Growth (MRQ),0.2361
Revenue Growth (TTM),0.126
Return On Equity (TTM),0.1408
Return On Assets (TTM),0.0113
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-10-16 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-10-14 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
