,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,56.43,58.5,61.11,59.48,63.01,63.57,,,,,
low,53.37,43.14,45.05,28.36,42.47,38.39,,,,,
change,0.0037,-0.1545,0.3111,-0.21660000000000001,0.203,-0.22,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,,28905.0,44303.0,39124.0,41652.0,Balance Sheet
Securities Held,,,,,,,41858.0,43654.0,61503.0,85574.0,Balance Sheet
Securities for Sale,,,,,,,132963.0,123593.0,98806.0,68523.0,Balance Sheet
Total Invest. Securities,,,,,,,174821.0,167247.0,160309.0,154097.0,Balance Sheet
Loans Held for Sale,,,,,,,7775.0,3321.0,3943.0,3647.0,Balance Sheet
"Other Erng. Assets, Total",,,,,,,182596.0,170568.0,164252.0,157744.0,Balance Sheet
Total Gross Loans,,,,,,,312028.0,318934.0,332369.0,342708.0,Balance Sheet
Loan Loss Allowances,,,,,,,-5724.0,-5664.0,-5832.0,-6017.0,Balance Sheet
Net Loans,,,,,,,306304.0,313270.0,326537.0,336691.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,3305.0,3207.0,3177.0,3155.0,Balance Sheet
"Goodwill, Net",,,,,,,10262.0,10250.0,10157.0,10125.0,Balance Sheet
Intangibles - Net,,,,,,,3738.0,4194.0,4487.0,4604.0,Balance Sheet
"Other Assets, Total",,,,,,,38174.0,40725.0,43647.0,47002.0,Balance Sheet
Total Assets,,,,,,,573284.0,586517.0,591381.0,600973.0,Balance Sheet
Accrued Expenses,,,,,,,1170.0,,,,Balance Sheet
Non-Interest Bearing Dep.,,,,,,,134901.0,129793.0,129130.0,115206.0,Balance Sheet
Interest Bearing Deposits,,,,,,,321182.0,331753.0,337972.0,355942.0,Balance Sheet
Total Deposits,,,,,,,456083.0,461546.0,467102.0,471148.0,Balance Sheet
Total ST Borrowings,,,,,,,11796.0,21042.0,24963.0,25066.0,Balance Sheet
Long Term Debt,,,,,,,30842.0,32931.0,29408.0,32228.0,Balance Sheet
Capital Lease Obligations,,,,,,,113.0,,,,Balance Sheet
Total Long Term Debt,,,,,,,30955.0,32931.0,29408.0,32228.0,Balance Sheet
Total Debt,,,,,,,42751.0,53973.0,54371.0,57294.0,Balance Sheet
Minority Interest,,,,,,,469.0,468.0,464.0,465.0,Balance Sheet
"Other Liabilities, Total",,,,,,,17893.0,19330.0,20839.0,24553.0,Balance Sheet
Total Liabilities,,,,,,,518366.0,535317.0,542776.0,553460.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,6576.0,7026.0,7026.0,7026.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,-205.0,-218.0,-218.0,-218.0,Balance Sheet
Common Stock,,,,,,,21.0,21.0,21.0,21.0,Balance Sheet
Additional Paid-In Capital,,,,,,,8539.0,8515.0,8555.0,8590.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,69201.0,69987.0,70772.0,71782.0,Balance Sheet
Treasury Stock - Common,,,,,,,-27271.0,-27193.0,-27190.0,-27188.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,-395.0,-5422.0,-8948.0,-10938.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-37.0,-37.0,-39.0,-45.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-1426.0,-1402.0,-1378.0,-1354.0,Balance Sheet
Other Comprehensive Income,,,,,,,-85.0,-77.0,4.0,-163.0,Balance Sheet
"Other Equity, Total",,,,,,,-1548.0,-1516.0,-1413.0,-1562.0,Balance Sheet
Total Equity,,,,,,,54918.0,51200.0,48605.0,47513.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,573284.0,586517.0,591381.0,600973.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,1484.0,1486.0,1486.0,1486.0,Balance Sheet
