,USB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",10.56,11.43,Valuation,0.9238845144356956
Price/Sales (TTM),2.8,3.3,Valuation,0.8484848484848485
Price/Book (MRQ),1.62,1.46,Valuation,1.1095890410958904
"PEG Ratio (TTM, GAAP)",2.17,1.15,Valuation,1.8869565217391304
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.3547,0.34240000000000004,Profitability,1.0359228971962615
Net Profit Margin (TTM),0.2802,0.2812,Profitability,0.9964438122332859
Annual Dividend Yield,0.0434,0.028700000000000003,Dividend,1.5121951219512193
Dividend Change %,0.023799999999999998,-0.0086,Dividend,-2.767441860465116
"Dividend Growth Rate, 3 Years",0.10640000000000001,0.0734,Dividend,1.449591280653951
EPS Growth (MRQ),0.1743,-0.0335,Gowth rates,-5.2029850746268655
EPS Growth (TTM),-0.15789999999999998,-0.09960000000000001,Gowth rates,1.5853413654618471
Revenue Growth (MRQ),0.2361,0.5429,Gowth rates,0.4348867194695155
Revenue Growth (TTM),0.126,0.2466,Gowth rates,0.510948905109489
Return On Equity (TTM),0.1408,0.1135,Effectiveness,1.2405286343612336
Return On Assets (TTM),0.0113,0.0099,Effectiveness,1.1414141414141412
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0009,Financial strength,0.5555555555555556
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
