,IONS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",717.67,471.78,Valuation,1.5211963203187926
Price/Sales (TTM),6.74,45.03,Valuation,0.14967799244947813
Price/Book (MRQ),9.93,12.61,Valuation,0.7874702616970658
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9855,0.5874,Profitability,1.677732379979571
Operating Profit Margin (TTM),0.0211,-4.7459,Profitability,-0.0044459428137971725
Net Profit Margin (TTM),0.0084,-4.5467,Profitability,-0.0018474937867024432
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.5535,-0.0014000000000000002,Gowth rates,-395.3571428571428
EPS Growth (TTM),1.0134,0.027200000000000002,Gowth rates,37.25735294117647
Revenue Growth (MRQ),0.1942,1.3963999999999999,Gowth rates,0.1390718991692925
Revenue Growth (TTM),0.325,0.9747,Gowth rates,0.33343592900379604
Return On Equity (TTM),0.013000000000000001,0.1967,Effectiveness,0.06609049313675648
Return On Assets (TTM),0.003,0.0016,Effectiveness,1.875
Return On Investment (TTM),0.0034000000000000002,0.0219,Effectiveness,0.15525114155251143
Revenue Per Employee (TTM),1326489.0,1476201.0,Effectiveness,0.8985829165540465
Total Debt/Total Capital (MRQ),0.6785,0.4675,Financial strength,1.4513368983957218
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0036,Financial strength,-0.11111111111111112
Quick Ratio (MRQ),7.52,2.06,Financial strength,3.6504854368932036
Interest Coverage (MRQ),,2.69,Financial strength,
