,IONS
% Below High,0.1487
% Held by Institutions,0.8792
52-Wk Range,['25.04 - 48.82']
Annual Dividend $,
Annual Dividend %,
Ask,41.87
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,41.35
Bid Size,100.0
Closing Price,41.56
Day Change $,0.31
Day Change %,0.0075
Day High,41.9
Day Low,40.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.06
Ex-dividend Date,No dividend
Historical Volatility,0.488
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,5.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",717.67
Prev Close,41.25
Short Interest,0.0546
Today's Open,41.08
Volume,465328.0
Volume 10-day Avg,964078.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.0176678445229683
Growth 2yr High Est,-1.7163120567375887
Growth 2yr Consensus Est,-0.3493221061073102
Growth 5yr Low Est,1.0176678445229683
Growth 5yr High Est,-1.7163120567375887
Growth 5yr Consensus Est,-0.3493221061073102
Growth 5yr Actual/Est,1.809586308521733
Growth 3yr Historic,-0.8727412776851631
Price/Earnings (TTM),717.6653
Price/Sales (TTM),6.74326
Price/Book (MRQ),9.9304
Price/Cash Flow (TTM),237.4648
5yr Low,25.04
5yr High,86.58
5yr Avg Return,-0.0030833333333333355
EPS Growth 5yr,
Revenue Growth 5yr,0.1680362
Dividend Growth 5yr,
Short Int Current Month,7716597.0
Short Int Prev Month,6855061.0
Short Int Pct of Float,0.0546497
Days to Cover,7.33628
Float,141.2581
Shares Outstanding,142.0503
Institutions Holding Shares,453.0
FCF Growth 5yr,-0.568796992481203
"Price/Earnings (TTM, GAAP)",717.67
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9855
Operating Profit Margin (TTM),0.0211
Net Profit Margin (TTM),0.0084
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5535
EPS Growth (TTM),1.0134
Revenue Growth (MRQ),0.1942
Revenue Growth (TTM),0.325
Return On Equity (TTM),0.013000000000000001
Return On Assets (TTM),0.003
Return On Investment (TTM),0.0034000000000000002
Revenue Per Employee (TTM),1326489.0
Total Debt/Total Capital (MRQ),0.6785
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),7.52
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-06-07 00:00:00
researchTeam since,2022-05-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-09 00:00:00
ford since,2022-05-06 00:00:00
marketEdge opinion since,
