,FIBK
% Below High,0.0382
% Held by Institutions,0.7839
52-Wk Range,['32.40 - 46.34']
Annual Dividend $,1.88
Annual Dividend %,0.042199999999999994
Ask,46.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,44.57
Bid Size,200.0
Closing Price,44.57
Day Change $,0.59
Day Change %,0.0134
Day High,44.71
Day Low,44.01
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",1.86
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.305
Last (size),43.0
Last (time),1:00p ET 11/25/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.98
Prev Close,43.98
Short Interest,0.018600000000000002
Today's Open,44.21
Volume,130646.0
Volume 10-day Avg,346856.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.32291666666666663
Growth 1yr High Est,-0.28387096774193543
Growth 1yr Consensus Est,-0.30339381720430103
Growth 2yr Low Est,0.42315705128205144
Growth 2yr High Est,0.3828392909038069
Growth 2yr Consensus Est,0.4029981710929292
Growth 5yr Low Est,0.22174072382338525
Growth 5yr High Est,0.21679820592151858
Growth 5yr Consensus Est,0.2192694648724519
Growth 5yr Actual/Est,0.22056681418472915
Growth 3yr Historic,0.03081048617997456
Price/Earnings (TTM),23.97577
Price/Sales (TTM),4.82408
Price/Book (MRQ),1.54895
Price/Cash Flow (TTM),21.16978
5yr Low,24.5
5yr High,51.24
5yr Avg Return,0.029933333333333336
EPS Growth 5yr,0.0787847
Revenue Growth 5yr,0.11190699999999999
Dividend Growth 5yr,0.1325887
Short Int Current Month,1925725.0
Short Int Prev Month,2370470.0
Short Int Pct of Float,0.0186238
Days to Cover,4.58673
Float,103.394
Shares Outstanding,104.4477
Institutions Holding Shares,300.0
FCF Growth 5yr,1.1435547934588854
"Price/Earnings (TTM, GAAP)",23.98
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2213
Net Profit Margin (TTM),0.1736
Annual Dividend Yield,0.0422
Dividend Change %,0.1714
"Dividend Growth Rate, 3 Years",0.1356
EPS Growth (MRQ),0.3689
EPS Growth (TTM),-0.3885
Revenue Growth (MRQ),0.1688
Revenue Growth (TTM),0.6397
Return On Equity (TTM),0.0671
Return On Assets (TTM),0.006600000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-30 00:00:00
researchTeam since,2021-08-13 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
marketEdge opinion since,
