,FIBK
Price/Earnings (TTM),23.97577
Price/Sales (TTM),4.82408
Price/Book (MRQ),1.54895
Price/Cash Flow (TTM),21.16978
5yr Low,24.5
5yr High,51.24
5yr Avg Return,0.029933333333333336
EPS Growth 5yr,0.0787847
Revenue Growth 5yr,0.11190699999999999
Dividend Growth 5yr,0.1325887
Short Int Current Month,1925725.0
Short Int Prev Month,2370470.0
Short Int Pct of Float,0.0186238
Days to Cover,4.58673
Float,103.394
Shares Outstanding,104.4477
Institutions Holding Shares,300.0
% Held by Institutions,0.783899
FCF Growth 5yr,1.1435547934588854
