,FDP
% Below High,0.12789999999999999
% Held by Institutions,0.6547
52-Wk Range,['22.63 - 31.44']
Annual Dividend $,0.75
Annual Dividend %,0.0274
Ask,30.8
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.6
Bid,22.35
Bid Size,1000.0
Closing Price,27.42
Day Change $,0.04
Day Change %,0.0015
Day High,27.8
Day Low,27.26
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",1.44
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.32
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.04
Prev Close,27.38
Short Interest,0.0171
Today's Open,27.4
Volume,274856.0
Volume 10-day Avg,222911.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.25503355704697994
Growth 2yr High Est,0.27516778523489926
Growth 2yr Consensus Est,0.2651006711409396
Growth 5yr Low Est,0.25503355704697994
Growth 5yr High Est,0.27516778523489926
Growth 5yr Consensus Est,0.2651006711409396
Growth 5yr Actual/Est,0.16161602806241815
Growth 3yr Historic,0.12408773291925468
Price/Earnings (TTM),19.03823
Price/Sales (TTM),0.29685
Price/Book (MRQ),0.69482
Price/Cash Flow (TTM),8.08858
5yr Low,20.25
5yr High,52.43
5yr Avg Return,-0.053099999999999994
EPS Growth 5yr,-0.1728694
Revenue Growth 5yr,0.0117129
Dividend Growth 5yr,0.0
Short Int Current Month,639218.0
Short Int Prev Month,758162.0
Short Int Pct of Float,0.017123600000000003
Days to Cover,3.52429
Float,37.34156
Shares Outstanding,47.8471
Institutions Holding Shares,224.0
FCF Growth 5yr,-2.9049446518475146
"Price/Earnings (TTM, GAAP)",19.04
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0675
Operating Profit Margin (TTM),0.0262
Net Profit Margin (TTM),0.015300000000000001
Annual Dividend Yield,0.027400000000000004
Dividend Change %,0.8333
"Dividend Growth Rate, 3 Years",-0.0286
EPS Growth (MRQ),0.5676
EPS Growth (TTM),-0.2553
Revenue Growth (MRQ),-0.1307
Revenue Growth (TTM),0.0431
Return On Equity (TTM),0.0374
Return On Assets (TTM),0.02
Return On Investment (TTM),0.025
Revenue Per Employee (TTM),110341.0
Total Debt/Total Capital (MRQ),0.20190000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.9
Interest Coverage (MRQ),6.87
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-06-08 00:00:00
researchTeam since,2022-11-04 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
