,WRB
Price/Earnings (TTM),17.55205
Price/Sales (TTM),1.86015
Price/Book (MRQ),3.14929
Price/Cash Flow (TTM),14.55252
5yr Low,28.7
5yr High,76.06
5yr Avg Return,0.17908333333333332
EPS Growth 5yr,0.1192418
Revenue Growth 5yr,0.0426811
Dividend Growth 5yr,0.0395943
Short Int Current Month,2300546.0
Short Int Prev Month,2219924.0
Short Int Pct of Float,0.011391400000000001
Days to Cover,1.53457
Float,202.2648
Shares Outstanding,265.4761
Institutions Holding Shares,914.0
% Held by Institutions,0.677708
FCF Growth 5yr,0.35483215770411264
