,WRB
% Below High,0.0167
% Held by Institutions,0.6777
52-Wk Range,['50.44 - 76.06']
Annual Dividend $,0.4
Annual Dividend %,0.0053
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.6
Bid,74.55
Bid Size,
Closing Price,74.79
Day Change $,-0.4
Day Change %,-0.0053
Day High,75.36
Day Low,74.63
Dividend Pay Date,2022-10-03 00:00:00
"EPS (TTM, GAAP)",4.28
Ex-dividend,2022-09-23 00:00:00
Ex-dividend Date,09/23/22
Historical Volatility,0.254
Last (size),602.0
Last (time),7:00p ET 11/28/22
Market Cap,19.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.55
Prev Close,75.19
Short Interest,0.011399999999999999
Today's Open,74.83
Volume,844302.0
Volume 10-day Avg,1400048.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.4072847682119205
Growth 1yr High Est,0.4516129032258065
Growth 1yr Consensus Est,0.4294488357188635
Growth 2yr Low Est,0.23893650175301906
Growth 2yr High Est,0.32580645161290334
Growth 2yr Consensus Est,0.2823714766829612
Growth 5yr Low Est,0.11946825087650953
Growth 5yr High Est,0.16290322580645167
Growth 5yr Consensus Est,0.1411857383414806
Growth 5yr Actual/Est,0.3472125369302308
Growth 3yr Historic,0.2450876043884067
Price/Earnings (TTM),17.55205
Price/Sales (TTM),1.86015
Price/Book (MRQ),3.14929
Price/Cash Flow (TTM),14.55252
5yr Low,28.7
5yr High,76.06
5yr Avg Return,0.17908333333333332
EPS Growth 5yr,0.1192418
Revenue Growth 5yr,0.0426811
Dividend Growth 5yr,0.0395943
Short Int Current Month,2300546.0
Short Int Prev Month,2219924.0
Short Int Pct of Float,0.011391400000000001
Days to Cover,1.53457
Float,202.2648
Shares Outstanding,265.4761
Institutions Holding Shares,914.0
FCF Growth 5yr,0.35483215770411264
"Price/Earnings (TTM, GAAP)",17.55
"PEG Ratio (TTM, GAAP)",1.95
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1528
Net Profit Margin (TTM),0.12090000000000001
Annual Dividend Yield,0.0053
Dividend Change %,0.0851
"Dividend Growth Rate, 3 Years",0.0904
EPS Growth (MRQ),0.2758
EPS Growth (TTM),0.7306
Revenue Growth (MRQ),0.0842
Revenue Growth (TTM),0.1677
Return On Equity (TTM),0.19899999999999998
Return On Assets (TTM),0.0402
Return On Investment (TTM),
Revenue Per Employee (TTM),1397074.0
Total Debt/Total Capital (MRQ),0.3086
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-07-22 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-27 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
