,MSI
% Below High,0.0191
% Held by Institutions,0.8584
52-Wk Range,['195.18 - 273.65']
Annual Dividend $,3.52
Annual Dividend %,0.0131
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,259.87
Bid Size,
Closing Price,268.43
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",6.81
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.307
Last (size),4200.0
Last (time),5:00p ET 11/25/22
Market Cap,44.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.44
Prev Close,268.43
Short Interest,0.0079
Today's Open,
Volume,212115.0
Volume 10-day Avg,762401.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.13236929922135698
Growth 1yr High Est,0.11668484187568162
Growth 1yr Consensus Est,0.1245270705485193
Growth 2yr Low Est,0.09418072033759406
Growth 2yr High Est,0.1408619521878408
Growth 2yr Consensus Est,0.11752133626271744
Growth 5yr Low Est,0.0873817338728097
Growth 5yr High Est,0.11227798853653137
Growth 5yr Consensus Est,0.09982986120467054
Growth 5yr Actual/Est,0.09193757024681096
Growth 3yr Historic,0.03898433977429408
Price/Earnings (TTM),39.44402
Price/Sales (TTM),5.14411
Price/Book (MRQ),
Price/Cash Flow (TTM),27.63692
5yr Low,89.18
5yr High,273.65
5yr Avg Return,0.21141666666666667
EPS Growth 5yr,0.1725891
Revenue Growth 5yr,0.062371499999999996
Dividend Growth 5yr,0.1160789
Short Int Current Month,1309705.0
Short Int Prev Month,1195351.0
Short Int Pct of Float,0.0078736
Days to Cover,1.27509
Float,166.352
Shares Outstanding,167.2032
Institutions Holding Shares,1239.0
FCF Growth 5yr,1.6837588234792034
"Price/Earnings (TTM, GAAP)",39.44
"PEG Ratio (TTM, GAAP)",3.53
Gross Profit Margin (TTM),0.4654
Operating Profit Margin (TTM),0.17329999999999998
Net Profit Margin (TTM),0.1351
Annual Dividend Yield,0.0131
Dividend Change %,0.1094
"Dividend Growth Rate, 3 Years",0.1094
EPS Growth (MRQ),0.2194
EPS Growth (TTM),-0.06
Revenue Growth (MRQ),0.10890000000000001
Revenue Growth (TTM),0.07400000000000001
Return On Equity (TTM),
Return On Assets (TTM),0.1023
Return On Investment (TTM),0.149
Revenue Per Employee (TTM),466578.0
Total Debt/Total Capital (MRQ),1.0701
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),5.56
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-02-08 00:00:00
theStreet since,2022-05-13 00:00:00
cfra since,2017-05-27 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
