,MSI
Price/Earnings (TTM),39.44402
Price/Sales (TTM),5.14411
Price/Book (MRQ),
Price/Cash Flow (TTM),27.63692
5yr Low,89.18
5yr High,273.65
5yr Avg Return,0.21141666666666667
EPS Growth 5yr,0.1725891
Revenue Growth 5yr,0.062371499999999996
Dividend Growth 5yr,0.1160789
Short Int Current Month,1309705.0
Short Int Prev Month,1195351.0
Short Int Pct of Float,0.0078736
Days to Cover,1.27509
Float,166.352
Shares Outstanding,167.2032
Institutions Holding Shares,1239.0
% Held by Institutions,0.858357
FCF Growth 5yr,1.6837588234792034
