,MSI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",39.44,26.06,Valuation,1.513430544896393
Price/Sales (TTM),5.14,5.09,Valuation,1.0098231827111983
Price/Book (MRQ),,4.51,Valuation,
"PEG Ratio (TTM, GAAP)",3.53,2.07,Valuation,1.7053140096618358
Gross Profit Margin (TTM),0.4654,0.5751,Profitability,0.8092505651191098
Operating Profit Margin (TTM),0.17329999999999998,0.2231,Profitability,0.7767817122366651
Net Profit Margin (TTM),0.1351,0.1819,Profitability,0.742715777899945
Annual Dividend Yield,0.0131,0.0201,Dividend,0.6517412935323383
Dividend Change %,0.1094,0.052300000000000006,Dividend,2.091778202676864
"Dividend Growth Rate, 3 Years",0.1094,0.0484,Dividend,2.260330578512397
EPS Growth (MRQ),0.2194,-0.16579999999999998,Gowth rates,-1.3232810615199038
EPS Growth (TTM),-0.06,0.1262,Gowth rates,-0.4754358161648177
Revenue Growth (MRQ),0.10890000000000001,0.1365,Gowth rates,0.7978021978021979
Revenue Growth (TTM),0.07400000000000001,0.0862,Gowth rates,0.8584686774941996
Return On Equity (TTM),,0.195,Effectiveness,
Return On Assets (TTM),0.1023,0.1241,Effectiveness,0.8243352135374697
Return On Investment (TTM),0.149,0.1684,Effectiveness,0.8847980997624703
Revenue Per Employee (TTM),466578.0,688581.0,Effectiveness,0.6775934857337045
Total Debt/Total Capital (MRQ),1.0701,0.36450000000000005,Financial strength,2.9358024691358025
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0002,Financial strength,2.0
Quick Ratio (MRQ),0.94,1.51,Financial strength,0.6225165562913907
Interest Coverage (MRQ),5.56,1.83,Financial strength,3.0382513661202184
