,CIR
Price/Earnings (TTM),
Price/Sales (TTM),0.66812
Price/Book (MRQ),4.21005
Price/Cash Flow (TTM),15.60799
5yr Low,8.0
5yr High,54.89
5yr Avg Return,0.022066666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.051481700000000005
Dividend Growth 5yr,
Short Int Current Month,482205.0
Short Int Prev Month,605211.0
Short Int Pct of Float,0.024190800000000002
Days to Cover,5.31924
Float,19.93961
Shares Outstanding,20.36335
Institutions Holding Shares,181.0
% Held by Institutions,0.958407
FCF Growth 5yr,1.4992540443524056
