,CIR
% Below High,0.17809999999999998
% Held by Institutions,0.9584
52-Wk Range,['13.26 - 30.71']
Annual Dividend $,
Annual Dividend %,
Ask,26.73
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.1
Bid,10.02
Bid Size,200.0
Closing Price,25.24
Day Change $,0.26
Day Change %,0.0104
Day High,25.61
Day Low,24.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.3
Ex-dividend Date,No dividend
Historical Volatility,0.593
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,513.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,24.98
Short Interest,0.0242
Today's Open,24.98
Volume,52819.0
Volume 10-day Avg,114232.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.09022556390977443
Growth 1yr High Est,-0.058064516129032295
Growth 1yr Consensus Est,0.016080523890371068
Growth 2yr Low Est,-0.037645838734767956
Growth 2yr High Est,0.15589924878479888
Growth 2yr Consensus Est,0.059126705025015464
Growth 5yr Low Est,-0.025097225823178637
Growth 5yr High Est,0.10393283252319925
Growth 5yr Consensus Est,0.03941780335001031
Growth 5yr Actual/Est,-0.057375645485661375
Growth 3yr Historic,-0.1869761917471841
Price/Earnings (TTM),
Price/Sales (TTM),0.66812
Price/Book (MRQ),4.21005
Price/Cash Flow (TTM),15.60799
5yr Low,8.0
5yr High,54.89
5yr Avg Return,0.022066666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.051481700000000005
Dividend Growth 5yr,
Short Int Current Month,482205.0
Short Int Prev Month,605211.0
Short Int Pct of Float,0.024190800000000002
Days to Cover,5.31924
Float,19.93961
Shares Outstanding,20.36335
Institutions Holding Shares,181.0
FCF Growth 5yr,1.4992540443524056
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.30469999999999997
Operating Profit Margin (TTM),0.0146
Net Profit Margin (TTM),-0.034
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),6.954
EPS Growth (TTM),0.6768000000000001
Revenue Growth (MRQ),0.020800000000000003
Revenue Growth (TTM),0.0202
Return On Equity (TTM),-0.17070000000000002
Return On Assets (TTM),-0.0253
Return On Investment (TTM),-0.0305
Revenue Per Employee (TTM),246563.0
Total Debt/Total Capital (MRQ),0.8043000000000001
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),1.51
Interest Coverage (MRQ),1.43
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-02-02 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-02-02 00:00:00
