,DELL
% Above Low,0.3567
% Held by Institutions,0.7555
52-Wk Range,['32.90 - 61.54']
Annual Dividend $,1.32
Annual Dividend %,0.0296
Ask,44.6
Ask Size,300.0
B/A Ratio,2.0
B/A Size,600x300
Beta,0.9
Bid,44.54
Bid Size,600.0
Closing Price,44.63
Day Change $,0.02
Day Change %,0.0004
Day High,45.07
Day Low,44.42
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",1.58
Ex-dividend,2022-10-18 00:00:00
Ex-dividend Date,10/18/22
Historical Volatility,0.423
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,32.7B
"P/E Ratio (TTM, GAAP)",28.31
Prev Close,44.61
Short Interest,0.030899999999999997
Today's Open,44.5
Volume,2034711.0
Volume 10-day Avg,4338811.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.026275115919629055
Growth 1yr High Est,0.17771084337349397
Growth 1yr Consensus Est,0.10199297964656151
Growth 2yr Low Est,-0.08626003240163121
Growth 2yr High Est,0.12274288971743752
Growth 2yr Consensus Est,0.018241428657903153
Growth 5yr Low Est,-0.07002656792495354
Growth 5yr High Est,0.03389155209732464
Growth 5yr Consensus Est,-0.01806750791381445
Growth 5yr Actual/Est,-0.018412620352956516
Growth 3yr Historic,-0.03351615646258502
Price/Earnings (TTM),28.31026
Price/Sales (TTM),0.32891
Price/Book (MRQ),
Price/Cash Flow (TTM),10.51495
5yr Low,25.51
5yr High,115.0
5yr Avg Return,-0.06383333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.1023658
Dividend Growth 5yr,
Short Int Current Month,7753057.0
Short Int Prev Month,7613536.0
Short Int Pct of Float,0.0308976
Days to Cover,2.91681
Float,251.0931
Shares Outstanding,732.96
Institutions Holding Shares,894.0
FCF Growth 5yr,-0.23475956941315487
"Price/Earnings (TTM, GAAP)",28.31
"PEG Ratio (TTM, GAAP)",7.75
Gross Profit Margin (TTM),0.152
Operating Profit Margin (TTM),0.0517
Net Profit Margin (TTM),0.0106
Annual Dividend Yield,0.0296
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5128
EPS Growth (TTM),-0.7687
Revenue Growth (MRQ),-0.0645
Revenue Growth (TTM),0.0611
Return On Equity (TTM),0.443
Return On Assets (TTM),0.0095
Return On Investment (TTM),0.022400000000000003
Revenue Per Employee (TTM),747790.0
Total Debt/Total Capital (MRQ),1.1406
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),1.45
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-01-28 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-02-28 00:00:00
marketEdge opinion since,
