,DELL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.31,22.87,Valuation,1.2378662002623524
Price/Sales (TTM),0.33,5.73,Valuation,0.05759162303664921
Price/Book (MRQ),,44.1,Valuation,
"PEG Ratio (TTM, GAAP)",7.75,2.57,Valuation,3.0155642023346307
Gross Profit Margin (TTM),0.152,0.4263,Profitability,0.35655641566971613
Operating Profit Margin (TTM),0.0517,0.2867,Profitability,0.18032786885245902
Net Profit Margin (TTM),0.0106,0.23690000000000003,Profitability,0.044744617982270994
Annual Dividend Yield,0.0296,0.0074,Dividend,4.0
Dividend Change %,,0.0593,Dividend,
"Dividend Growth Rate, 3 Years",,0.0618,Dividend,
EPS Growth (MRQ),-0.5128,0.0139,Gowth rates,-36.89208633093526
EPS Growth (TTM),-0.7687,0.0891,Gowth rates,-8.627384960718295
Revenue Growth (MRQ),-0.0645,0.0784,Gowth rates,-0.8227040816326531
Revenue Growth (TTM),0.0611,0.0893,Gowth rates,0.6842105263157895
Return On Equity (TTM),0.443,1.7101,Effectiveness,0.25904917841061925
Return On Assets (TTM),0.0095,0.27030000000000004,Effectiveness,0.03514613392526821
Return On Investment (TTM),0.022400000000000003,0.45,Effectiveness,0.04977777777777778
Revenue Per Employee (TTM),747790.0,2289443.0,Effectiveness,0.3266252970700734
Total Debt/Total Capital (MRQ),1.1406,0.7151000000000001,Financial strength,1.5950216752901691
Change in Debt/Total Capital Quarter over Quarter,-0.0009,-0.0004,Financial strength,2.25
Quick Ratio (MRQ),0.63,0.84,Financial strength,0.75
Interest Coverage (MRQ),1.45,317.99,Financial strength,0.0045598918204975
