,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,44.09,118.13,199.68,184.7,,,,,
low,27.55,28.88,69.73,66.45,,,,,
change,-0.0637,1.5756000000000001,0.8047,-0.5813,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,271.0,272.0,239.0,295.0,Balance Sheet
Short Term Investments,,,,,1283.0,1399.0,1465.0,1471.0,Balance Sheet
Cash and Short Term Invs,,,,,1554.0,1671.0,1704.0,1766.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,272.0,279.0,309.0,354.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-3.0,-3.0,-4.0,-5.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,269.0,275.0,306.0,349.0,Balance Sheet
Other Receivables,,,,,7.0,,,,Balance Sheet
"Total Receivables, Net",,,,,276.0,275.0,306.0,349.0,Balance Sheet
Prepaid Expenses,,,,,14.0,33.0,33.0,32.0,Balance Sheet
"Other Curr. Assets, Total",,,,,27.0,25.0,27.0,30.0,Balance Sheet
Total Current Assets,,,,,1871.0,2004.0,2070.0,2177.0,Balance Sheet
Buildings,,,,,21.0,27.0,20.0,23.0,Balance Sheet
Machinery/Equipment,,,,,103.0,118.0,138.0,154.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,68.0,69.0,73.0,99.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,192.0,214.0,231.0,277.0,Balance Sheet
Accumulated Depreciation,,,,,-55.0,-62.0,-69.0,-77.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,137.0,153.0,162.0,200.0,Balance Sheet
"Goodwill, Net",,,,,292.0,292.0,335.0,333.0,Balance Sheet
Intangibles - Gross,,,,,20.0,20.0,26.0,26.0,Balance Sheet
Accum. Intangible Amort.,,,,,-5.0,-6.0,-8.0,-10.0,Balance Sheet
Intangibles - Net,,,,,16.0,14.0,18.0,16.0,Balance Sheet
Deferred Charges,,,,,42.0,43.0,47.0,50.0,Balance Sheet
Restricted Cash - LT,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Other Long Term Assets,,,,,20.0,20.0,20.0,20.0,Balance Sheet
Total Assets,,,,,2381.0,2529.0,2654.0,2798.0,Balance Sheet
Accounts Payable,,,,,25.0,19.0,48.0,28.0,Balance Sheet
Accrued Expenses,,,,,131.0,129.0,134.0,168.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,372.0,455.0,444.0,479.0,Balance Sheet
Total Current Liabilities,,,,,529.0,602.0,626.0,674.0,Balance Sheet
Total Long Term Debt,,,,,735.0,736.0,737.0,738.0,Balance Sheet
Total Debt,,,,,735.0,736.0,737.0,738.0,Balance Sheet
"Other Liabilities, Total",,,,,75.0,74.0,76.0,96.0,Balance Sheet
Total Liabilities,,,,,1340.0,1412.0,1439.0,1508.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,1197.0,1272.0,1381.0,1488.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-152.0,-142.0,-147.0,-173.0,Balance Sheet
"Other Equity, Total",,,,,-4.0,-13.0,-19.0,-25.0,Balance Sheet
Total Equity,,,,,1041.0,1117.0,1215.0,1289.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,2381.0,2529.0,2654.0,2798.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,263.0,283.0,291.0,292.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,50.0,32.0,26.0,26.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,313.0,315.0,316.0,318.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,326198.0,363030.0,406138.0,436533.0,Income Statement
"Cost of Revenue, Total",,,,,67149.0,74462.0,81925.0,93599.0,Income Statement
Selling/Gen/Admin Expense,,,,,99574.0,106808.0,122712.0,135804.0,Income Statement
Labor & Related Expense,,,,,17763.0,20535.0,26735.0,32876.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,117337.0,127343.0,149447.0,168680.0,Income Statement
Research & Development,,,,,133049.0,150608.0,177699.0,205388.0,Income Statement
Depreciation/Amortization,,,,,208.0,203.0,206.0,208.0,Income Statement
Total Operating Expense,,,,,317743.0,352616.0,409277.0,467875.0,Income Statement
Total Operating Income,,,,,8455.0,10414.0,-3139.0,-31342.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-5604.0,-5247.0,-4541.0,-3728.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,5442.0,5496.0,6755.0,9087.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,239.0,191.0,914.0,2924.0,Income Statement
"Other, Net",,,,,239.0,191.0,914.0,2924.0,Income Statement
Income Before Tax,,,,,8532.0,10854.0,-11.0,-23059.0,Income Statement
Income Tax - Total,,,,,1363.0,1116.0,4868.0,2926.0,Income Statement
Income After Tax,,,,,7169.0,9738.0,-4879.0,-25985.0,Income Statement
Net Inc Before Extra Items,,,,,7169.0,9738.0,-4879.0,-25985.0,Income Statement
Total Net Income,,,,,7169.0,9738.0,-4879.0,-25985.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,7169.0,9738.0,-4879.0,-25985.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,7169.0,9738.0,-4879.0,-25985.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,311847.0,313456.0,314795.0,315990.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.02,0.03,-0.02,-0.08,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.02,0.03,-0.02,-0.08,Income Statement
Diluted Weighted Average Shares,,,,,311847.0,345668.0,314795.0,315990.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.02,0.03,-0.02,-0.08,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.02,0.03,-0.02,-0.08,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,5604.0,5247.0,4541.0,3728.0,Income Statement
"Depreciat/Amort, Suppl",,,,,5450.0,5800.0,6418.0,7205.0,Income Statement
Normalzd Income Before Tax,,,,,8532.0,10854.0,-11.0,-23059.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,1363.0,1116.0,4868.0,2926.0,Income Statement
Normalized Income After Tax,,,,,7169.0,9738.0,-4879.0,-25985.0,Income Statement
Normalzd Inc Avail to Common,,,,,7169.0,9738.0,-4879.0,-25985.0,Income Statement
Basic Normalized EPS,,,,,0.02,0.03,-0.02,-0.08,Income Statement
Diluted Normalized EPS,,,,,0.02,0.03,-0.02,-0.08,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,-20745.0,9738.0,4859.0,-21126.0,Cash Flow
Depreciation/Depletion,,,,,22938.0,7394.0,15512.0,24825.0,Cash Flow
Unusual Items,,,,,274.0,823.0,1149.0,1152.0,Cash Flow
Other Non-Cash Items,,,,,220700.0,82914.0,181859.0,299493.0,Cash Flow
Non-Cash Items,,,,,220974.0,83737.0,183008.0,300645.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,1486.0,339.0,386.0,1082.0,Cash Flow
Accounts Receivable,,,,,-107112.0,-7319.0,-38100.0,-83738.0,Cash Flow
Prepaid Expenses,,,,,-737.0,-8391.0,-12629.0,-11280.0,Cash Flow
Other Assets,,,,,-45402.0,-8971.0,-23221.0,-36591.0,Cash Flow
Accounts Payable,,,,,3078.0,-7624.0,23179.0,2483.0,Cash Flow
Accrued Expenses,,,,,37270.0,-2911.0,-4310.0,27350.0,Cash Flow
Changes in Working Capital,,,,,63378.0,46519.0,16969.0,-378.0,Cash Flow
Total Cash from Operations,,,,,286545.0,147388.0,220348.0,303966.0,Cash Flow
Purchase of Fixed Assets,,,,,-9956.0,-9514.0,-15501.0,-25207.0,Cash Flow
Software Development Costs,,,,,-26069.0,-7973.0,-14780.0,-21592.0,Cash Flow
Capital Expenditures,,,,,-36025.0,-17487.0,-30281.0,-46799.0,Cash Flow
Acquisition of Business,,,,,-226505.0,-4871.0,-39566.0,-40302.0,Cash Flow
Sale/Maturity of Investment,,,,,1114309.0,201710.0,518760.0,859283.0,Cash Flow
Purchase of Investments,,,,,-1125519.0,-329706.0,-718785.0,-1067732.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-237715.0,-132867.0,-239591.0,-248751.0,Cash Flow
Total Cash from Investing,,,,,-273740.0,-150354.0,-269872.0,-295550.0,Cash Flow
Financing Cash Flow Items,,,,,-245.0,0.0,0.0,0.0,Cash Flow
"Common Stock, Net",,,,,20278.0,,13557.0,13557.0,Cash Flow
Options Exercised,,,,,14907.0,4245.0,6451.0,8267.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,35185.0,4245.0,20008.0,21824.0,Cash Flow
Long Term Debt Issued,,,,,0.0,,,,Cash Flow
Long Term Debt Reduction,,,,,0.0,-3.0,-3.0,-3.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,0.0,-3.0,-3.0,-3.0,Cash Flow
Total Cash From Financing,,,,,34940.0,4242.0,20005.0,21821.0,Cash Flow
Foreign Exchange Effects,,,,,-1993.0,-629.0,-2871.0,-6866.0,Cash Flow
Net Change in Cash,,,,,45752.0,647.0,-32390.0,23371.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,228711.0,274463.0,274463.0,274463.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,274463.0,275110.0,242073.0,297834.0,Cash Flow
"Depreciation, Supplemental",,,,,22938.0,7394.0,15512.0,24825.0,Cash Flow
Free Cash Flow,,,,,250520.0,129901.0,190067.0,257167.0,
FCF Growth,,,,,,-0.4814745329714194,0.4631681049414553,0.3530334040101648,
